"Feature"	"Consortium_Early_R1"	"Consortium_Early_R2"	"Consortium_Early_R3"	"Consortium_Late_R1"	"Consortium_Late_R2"	"Consortium_Late_R3"	"HGF2_Early_R1"	"HGF2_Early_R2"	"HGF2_Early_R3"	"HGF2_Late_R1"	"HGF2_Late_R2"	"HGF2_Late_R13"
"RCHGF001110"	6	18	11	0	2	6	1045	1042	504	477	474	544
"RCHGF001111"	4	14	2	6	2	1	684	787	422	3638	3667	3315
"RCHGF001112"	0	0	0	1	0	0	98	148	59	8083	3496	4183
"RCHGF001113"	7	8	14	3	7	1	941	1015	327	1205	1065	947
"RCHGF001114"	6	7	2	2	1	3	182	245	94	230	161	149
"RCHGF001115"	10	5	4	3	3	4	496	620	308	416	423	377
"RCHGF001116"	13	18	13	6	6	4	1727	1587	794	684	1086	889
"RCHGF001117"	12	12	9	1	2	4	3165	2938	1185	1461	1177	921
"RCHGF001118"	9	4	21	8	0	2	1849	2281	1115	1608	928	718
"RCHGF001119"	7	6	2	2	4	0	3078	2507	4791	1310	1536	1140
"RCHGF001120"	6	8	16	1	2	3	3012	3276	1615	1526	1970	1774
"RCHGF001121"	0	0	0	0	0	0	36	31	15	7	23	14
"RCHGF001122"	2	3	4	2	4	0	358	435	156	204	208	202
"RCHGF001123"	37	30	29	4	21	13	2026	2416	652	696	732	728
"RCHGF001126"	0	1	0	0	0	0	145	157	55	20	8	14
"RCHGF001127"	18	11	6	2	1	2	3298	3343	2564	1610	2109	1935
"RCHGF001128"	0	0	0	0	0	0	36	45	29	35	16	14
"RCHGF001129"	1	3	0	1	0	0	442	381	553	230	272	223
"RCHGF001130"	2	6	1	0	0	0	376	342	264	317	296	264
"RCHGF001131"	0	4	0	2	0	0	242	159	197	126	159	109
"RCHGF001132"	0	2	0	0	0	0	161	196	126	68	78	73
"RCHGF001133"	2	3	1	0	1	0	183	185	129	57	70	79
"RCHGF001134"	0	0	1	0	0	0	103	92	30	37	22	20
"RCHGF001135"	0	3	0	0	0	0	56	51	137	17	15	16
"RCHGF001136"	6	12	9	0	6	5	2648	2558	2429	1688	2415	1935
"RCHGF001137"	0	0	0	0	0	0	204	219	182	77	106	98
"RCHGF001138"	19	10	8	0	15	2	1642.71	1673.5	1663.4	572.174	516.253	495.335
"RCHGF001139"	11	3	0	0	0	0	274	306	264	140	158	154
"RCHGF001140"	13	14	19	1	3	5	4270	5251	2765	2106	2575	2360
"RCHGF001141"	19	33	33	13	5	14	8407	10545	5254	3944	4881	4289
"RCHGF001142"	20	40	27	9	15	16	2491	2570	1490	407	369	339
"RCHGF001143"	146	167	146	103	81	71	111122	95538	151194	13108	11017	9932
"RCHGF001144"	40	60	25	23	20	20	5802	4968	4975	2047	2558	2350
"RCHGF001145"	0	0	0	0	0	0	93	115	67	93	66	47
"RCHGF001146"	0	0	0	3	0	0	291	235	207.426	89	55	44
"RCHGF001147"	0	0	0	0	0	0	13	17	4	15	12	20
"RCHGF001148"	0	4	0	6	0	0	118	188	64	89	80	56
"RCHGF001149"	21	21	29	18	13	10	5260	4756	4602	2569	2507	1794
"RCHGF001150"	65	98	51	36	29	30	9890	9483	8741	3426	3327	2383
"RCHGF001152"	15	23	7	3	1	6	1390	1495	1017	986	1365	1227
"RCHGF001153"	31	39	31	7	10	7	3334	3596	1986	3066	4825	4153
"RCHGF001154"	1	8	2	3	1	4	308	373	280	423	593	483
"RCHGF001155"	12	13	13	4	9	5	1395	1660	754	1360	1804	1496
"RCHGF001156"	2	6	0	0	1	1	161	177	101	251	300	211
"RCHGF001157"	1	0	0	0	0	0	59	61	73	99	118	107
"RCHGF001158"	25	14	26	7	9	16	6448	5549	9783	2422	2073	1630
"RCHGF001159"	1	4	6	1	4	0	448	479	229	302	346	388
"RCHGF001160"	9	10	5	7	7	5	1515	1416	2337	926	1056	929
"RCHGF001161"	18	17	25	5	8	2	1358	1347	1070	918	1151	1187
"RCHGF001162"	2	3	4	0	0	0	236	257	105	86	148	156
"RCHGF001163"	1	0	0	0	0	2	87	92	169	45	74	62
"RCHGF001164"	1	4	8	3	0	0	887	619	449	227	270	241
"RCHGF001165"	3	11	6	0	0	0	522	583	398	356	331	291
"RCHGF001166"	2	5	0	1	0	4	493	514	281	218	202	168
"RCHGF001167"	3	1	1	0	0	0	229	242	161	107	96	86
"RCHGF001168"	0	0	0	0	0	0	1	5	1	0	0	2
"RCHGF001169"	10	8	0	1	0	0	252	285	235	37645	41511	33382
"RCHGF001170"	7	22	0	4	2	2	144	216	232	16897	19557	15230
"RCHGF001171"	0	3	0	0	0	0	138	171	137	1404	1404	1262
"RCHGF001172"	5	10	7	2	1	1	1108	1192	1851	390	517	428
"RCHGF001173"	53	81	71	17	24	38	13211	13561	4679	5102	7326	5733
"RCHGF001174"	13	5	15	4	3	1	17339	23441	10141	646	859	609
"RCHGF001176"	16	8	4	3	0	2	4793.19	4885.59	2373.53	1951.66	2494.83	1939.71
"RCHGF001178"	7	1	0	1	0	0	1570	1224	2796	1021	1176	939
"RCHGF001179"	1	0	5	0	0	0	1996	1637	2207	1085	1055	839
"RCHGF001180"	0	7	1	0	0	0	997	1214	885	803	819	782
"RCHGF001181"	1	0	0	0	0	0	476	596	340	332	485	459
"RCHGF001182"	5	9	2	0	0	0	2182	1950	1481	952	1089	822
"RCHGF001183"	28	26	20	12	9	8	18833	16503	20363	7986	7868	5992
"RCHGF001184"	20	50	37	12	8	8	3039	3140	5932	2038	1913	1620
"RCHGF001185"	16	17	23	4	4	10	1228	1076	809	799	636	563
"RCHGF001186"	1	3	1	1	8	0	224	154	315	114	193	179
"RCHGF001187"	0	0	0	0	0	0	60	57	59	32	40	30
"RCHGF001188"	0	1	0	1	0	0	72	90	66	61	35	47
"RCHGF001189"	5	1	0	0	1	0	415	376	247	158	79	69
"RCHGF001190"	3	4	1	0	0	0	153	153	122	31	19	42
"RCHGF001191"	1	4	2	0	1	0	147	159	90	129	96	92
"RCHGF001192"	0	7	0	0	2	1	145	161	79	106	94	68
"RCHGF001193"	1	0	0	0	0	0	55	61	49	53	35	26
"RCHGF001195"	5	3	3	3	1	4	969	921	672	622	847	770
"RCHGF001196"	5	4	13	1	2	5	2380	2392	2013	1844	2317	1737
"RCHGF001197"	0	1	0	0	0	0	47	46	18	10	7	8
"RCHGF001198"	9	11	5	0	1	3	1188	1346	951	944	1232	959
"RCHGF001199"	36	38	29	7	7	21	3137	3388	1851	2042	2988	2701
"RCHGF001200"	21	13	11	6	4	7	827	1098	319	481	637	627
"RCHGF001201"	0	2	0	0	0	0	18	11	5	16	4	1
"RCHGF001202"	8	13	10	5	1	6	1140	1022	921	1015	1242	977
"RCHGF001203"	9	9	3	5	0	6	282	301	167	355	367	298
"RCHGF001204"	8	12	9	5	4	4	507	617	264	438	438	303
"RCHGF001205"	0	0	0	0	0	0	8	20	6	14	7	10
"RCHGF001206"	0	0	0	0	0	0	84	79	49	23	22	9
"RCHGF001207"	20	30	50	11	12	10	1353.32	1448.28	332	546	339	252
"RCHGF001208"	555	692	708	375	315	292	29727.7	37338.7	10715	13319	8510	6330
"RCHGF001209"	21	29	28	9	16	6	4814	4902	2910	2047	3241	2570
"RCHGF001210"	17	18	23	11	4	10	4101	4249	3021	2391	3140	2685
"RCHGF001211"	0	14	5	4	0	1	872	1078	279	305	432	367
"RCHGF001212"	3	8	5	0	1	2	976	1016	585	728	925	760
"RCHGF001213"	2	6	2	0	0	0	464	387	1071	569	779	698
"RCHGF001214"	0	0	0	0	0	0	41	65	21	10	8	2
"RCHGF001215"	3	6	2	1	2	4	1046	993	808	1267	1187	942
"RCHGF001216"	0	2	0	0	0	0	100	109	10	42	39	19
"RCHGF001217"	0	0	3	0	0	0	13	8	4	11	7	6
"RCHGF001218"	0	0	0	0	0	0	103	98	60	23	37	13
"RCHGF001219"	5	1	1	0	2	1	723	784	696	244	205	163
"RCHGF001220"	4	1	3	4	0	0	520	618	344	286	288	238
"RCHGF001221"	0	0	1	0	0	0	308	272	146	168	142	104
"RCHGF001222"	1	7	1	0	0	0	205	214	143	111	129	67
"RCHGF001223"	2	8	1	0	0	0	346	433	254	109	88	81
"RCHGF001224"	2	1	1	1	0	1	317	292	118	202	135	153
"RCHGF001225"	3	6	2	1	3	2	650	789	363	569	535	455
"RCHGF001226"	0	0	0	3	0	0	111	116	82	234	237	197
"RCHGF001227"	0	0	0	1	0	0	96	93	71	124	80	109
"RCHGF001228"	0	1	0	0	2	3	69	78	34	198	148	136
"RCHGF001229"	2	0	1	0	0	0	120	127	78	83	59	34
"RCHGF001230"	0	0	0	0	0	0	68	68	45	32	22	20
"RCHGF001231"	1	9	1	1	0	0	77	71	62	48	40	31
"RCHGF001232"	4	2	2	0	0	1	143	190	111	195	105	105
"RCHGF001233"	1	0	0	0	0	0	58	58	41	63	16	18
"RCHGF001234"	0	0	0	1	0	0	20	35	16	23	9	13
"RCHGF001235"	2	3	7	3	2	0	1209	1427	371	372	570	593
"RCHGF001236"	8	9	6	2	7	4	873	792	365	714	2164	2451
"RCHGF001237"	5	7	7	2	2	4	450	466	199	422	1125	1627
"RCHGF001238"	7	3	2	3	2	3	354	355	171	282	949	1266
"RCHGF001239"	18	31	34	7	4	4	2332	2351	1009	2366	6675	8809
"RCHGF001240"	3	16	4	1	2	1	592	592	315	518	1727	2275
"RCHGF001241"	9	5	7	0	0	2	840	829	510	974	3165	3520
"RCHGF001242"	9	10	15	3	8	0	1952	2093	955	2135	6769	8136
"RCHGF001243"	4	11	6	6	6	4	1282	1273	827	1334	3762	4492
"RCHGF001244"	15	21	13	13	9	4	3235	3306	1546	2441	6682	8040
"RCHGF001245"	5	11	0	2	2	1	1616	1353	625	1153	3417	3865
"RCHGF001246"	6	3	6	4	1	5	1390	1253	826	858	2712	3182
"RCHGF001247"	7	17	5	3	9	4	2761	2485	1250	1395	4227	4497
"RCHGF001248"	5	3	1	0	1	4	1606	1490	646	800	1691	1696
"RCHGF001249"	0	0	0	0	0	0	750	395	759	416	1034	902
"RCHGF001250"	5	1	0	1	3	0	143	162	96	1648	1929	1676
"RCHGF001251"	2	3	0	1	2	0	131	140	99	3000	3386	3147
"RCHGF001252"	1	6	2	1	1	0	257	306	171	4158	5570	5109
"RCHGF001253"	0	0	0	0	0	0	2	3	4	17	11	10
"RCHGF001254"	8	9	7	4	1	1	899	851	691	1369	1536	1305
"RCHGF001255"	11	24	13	10	3	6	3800	3851	2756	3359	4230	3684
"RCHGF001256"	94	91	76	32	30	38	13361	12863	28720	21991	28709	25510
"RCHGF001257"	0	0	0	0	0	0	26	38	13	14	11	15
"RCHGF001258"	13	4	8	1	6	3	751	791	1122	793	1050	819
"RCHGF001259"	6	13	3	4	2	3	5007	5334	5705	6871	8951	7262
"RCHGF001260"	13	5	12	2	5	1	3044	2954	3887	4582	6742	5913
"RCHGF001261"	1	4	0	3	0	0	311	361	212	229	287	251
"RCHGF001262"	46	75	47	15	21	15	6584.68	6391.64	4170.57	2314.68	2584.6	2241.95
"RCHGF001263"	0	0	0	0	0	0	14	27	10	3	2	8
"RCHGF001264"	8	16	4	5	7	2	1055	1051	570	499	571	410
"RCHGF001265"	0	2	2	0	2	0	229	292	185	117	133	119
"RCHGF001266"	5	6	2	2	0	0	182	183	173	143	102	99
"RCHGF001267"	0	0	3	2	0	0	36	38	31	26	25	18
"RCHGF001268"	1	2	0	0	0	0	195	196	141	95	151	134
"RCHGF001269"	1	2	5	1	0	0	790	747	352	988	1060	929
"RCHGF001270"	40	52	50	20	17	30	6445	7158	3091	10521	11183	9641
"RCHGF001271"	14	19	15	7	10	12	2381	2829	1172	4408	4143	3378
"RCHGF001272"	1	3	5	1	1	0	574	513	486	401	415	379
"RCHGF001273"	1	3	4	0	9	1	1837	1915	792	957	1064	895
"RCHGF001274"	3	5	4	1	1	0	677	778	269	269	309	229
"RCHGF001275"	6	3	2	0	2	1	1579	1736	1000	906	1212	956
"RCHGF001276"	13	18	10	6	3	3	2475	2733	1494	1847	2251	1837
"RCHGF001277"	1	2	0	4	0	0	113	120	84	75	33	32
"RCHGF001278"	0	0	0	0	0	0	8	8	3	0	3	3
"RCHGF001279"	3	5	4	3	1	0	1367	1364	915	504	625	563
"RCHGF001280"	7	14	12	8	5	2	2793	3233	1351	1132	1300	1015
"RCHGF001281"	35	25	47	9	7	8	7510	6684	5206	13491	14073	10664
"RCHGF001282"	6	11	11	0	2	2	1968	1832	1317	1477	1741	1382
"RCHGF001283"	1	0	4	0	0	0	1055	743	570	448	453	255
"RCHGF001284"	0	1	1	1	2	3	1667	1300	2079	759	969	637
"RCHGF001285"	5	9	8	1	0	0	375	425	256	315	304	282
"RCHGF001286"	1	2	8	1	1	0	291	381	159	266	255	246
"RCHGF001287"	8	3	1	5	0	2	504	693	295	522	543	429
"RCHGF001288"	1	1	1	0	0	1	307	408	154	200	192	177
"RCHGF001289"	7	1	0	0	0	2	237	239	128	76	126	106
"RCHGF001290"	0	0	1	0	0	2	110	115	103	42	50	46
"RCHGF001291"	0	5	3	0	0	0	178	222	118	86	105	68
"RCHGF001292"	0	2	1	0	0	0	53	53	45	11	41	20
"RCHGF001293"	22	23	24	15	7	3	2273	2240	1158	5446	6078	5557
"RCHGF001294"	5	14	17	3	1	6	1412	1404	798	3799	3987	3363
"RCHGF001295"	13	21	11	4	1	2	1332	1393	976	4063	4720	4129
"RCHGF001296"	4	1	0	2	0	1	728	670	569	2642	2751	2167
"RCHGF001297"	0	0	0	0	0	0	0	4	3	0	0	2
"RCHGF001298"	2	4	4	0	0	0	411	425	302	626	652	504
"RCHGF001299"	1	0	0	0	1	1	500	463	502	155	160	147
"RCHGF001300"	1	1	0	0	0	0	92	85	73	42	14	25
"RCHGF001301"	20	18	9	7	3	5	1244	1363	794	708	910	858
"RCHGF001302"	8	7	4	7	2	1	492	558	324	370	474	462
"RCHGF001303"	10	5	5	4	1	0	2316.88	1958.16	2840.21	1191.95	962.346	781
"RCHGF001304"	2	2	3	1	0	0	804	872	1074	371	275	245
"RCHGF001305"	0	8	1	1	1	0	913	892	512	762	877	803
"RCHGF001306"	0	0	0	0	0	0	14	3	3	0	8	4
"RCHGF001307"	3	0	2	0	0	0	182	190	110	266	246	206
"RCHGF001308"	0	0	0	0	0	0	189	234	153	451	429	367
"RCHGF001309"	0	3	2	0	0	1	126	131	88	183	136	108
"RCHGF001310"	1	0	1	0	0	0	112	176	79	195	214	193
"RCHGF001311"	1	5	1	0	0	0	213	291	131	266	306	240
"RCHGF001312"	4	5	1	0	0	0	234	229	179	316	261	229
"RCHGF001313"	17	29	11	9	4	4	2199	2244	1196	1326	1146	972
"RCHGF001314"	9	6	8	1	3	2	1477	1714	684	652	707	656
"RCHGF001315"	5	10	9	2	0	2	1305	1341	605	473	671	595
"RCHGF001316"	38	60	27	10	15	12	7476	7370	4482	4075	5689	5509
"RCHGF001317"	7	6	15	1	2	7	3844	3909	7179	773	1157	995
"RCHGF001318"	2	1	1	0	0	2	630	670	328	315	414	256
"RCHGF001319"	0	0	1	0	0	0	81	82	34	51	10	22
"RCHGF001320"	8	22	21	4	5	9	2987	3874	1441	1380	1644	1487
"RCHGF001321"	82	133	84	37	35	49	13407	15069	6839	5855	7550	6844
"RCHGF001322"	8	10	15	0	2	8	1177	1179	413	605	553	559
"RCHGF001323"	1	3	0	0	0	0	16	14	6	8	6	3
"RCHGF001324"	0	0	0	0	0	0	32	25	10	13	22	14
"RCHGF001325"	120	121	128	32	45	46	5124	5814	1998	3712	3198	2923
"RCHGF001326"	31	52	43	33	23	33	3384	3326	1034	3420	2709	2180
"RCHGF001327"	216	321	224	95	99	77	14225	17158	2412	4715	4102	3541
"RCHGF001328"	691	899	769	279	264	268	33520	40656	8117	9076	9160	7289
"RCHGF001329"	0	0	1	0	0	3	112	128	8	36	4	6
"RCHGF001330"	25	19	19	8	5	4	1889	2034	809	933	1196	911
"RCHGF001331"	9	15	10	5	4	5	753	801	717	635	744	683
"RCHGF001332"	3	8	6	1	0	0	405	488	210	248	245	250
"RCHGF001333"	3	22	2	0	0	1	469	721	262	342	332	262
"RCHGF001334"	6	12	2	0	1	0	1339	1552	1429	1131	1521	1156
"RCHGF001335"	55	70	36	24	17	30	2782	2702	939	3312	2796	2300
"RCHGF001336"	0	0	0	0	0	0	28	22	9	6	7	7
"RCHGF001337"	11	9	12	1	3	3	1223	1386	1147	390	226	161
"RCHGF001338"	0	0	0	0	0	0	37	35	13	3	8	10
"RCHGF001339"	8	5	5	2	1	1	706	723	304	483	538	417
"RCHGF001340"	9	19	15	1	1	1	2045	2223	1078	1484	1479	1158
"RCHGF001341"	4	7	3	0	1	0	1562	1579	1614	899	786	611
"RCHGF001342"	24	20	21	7	5	4	5526	4936	3195	2362	2636	2407
"RCHGF001343"	53	45	56	12	15	21	5294	5797	3292	5577	6550	5852
"RCHGF001344"	0	0	1	4	0	0	358	449	244	333	364	384
"RCHGF001345"	77	95	47	24	25	17	13736	16253	7725	4887	5903	4975
"RCHGF001346"	72	88	70	29	26	41	7511	8872	3697	4989	6604	5693
"RCHGF001347"	0	6	5	1	1	0	351	469	417	356	289	210
"RCHGF001348"	43	31	28	22	15	10	7886	7062	13240	4124	5708	5107
"RCHGF001349"	104.867	63.863	79	55.5882	76.3953	34	317960	283680	435101	129296	111136	64007.3
"RCHGF001350"	6	19	5	3	3	6	3727	3629	4717	2696	3617	2820
"RCHGF001351"	0	0	0	0	0	0	11	30	10	3	6	3
"RCHGF001352"	2	1	6	0	1	0	334	426	162	356	338	281
"RCHGF001353"	0	0	1	0	4	1	189	214	89	276	241	224
"RCHGF001354"	0	4	2	1	0	1	461	614	239	510	431	413
"RCHGF001355"	4	2	2	1	0	0	121	181	101	89	115	107
"RCHGF001356"	0	1	0	0	0	0	50	63	36	34	18	23
"RCHGF001357"	0	2	3	0	0	0	79	78	26	26	17	22
"RCHGF001358"	1	0	0	0	0	0	145	150	81	96	109	69
"RCHGF001359"	1	3	0	0	0	0	121	142	101	77	33	38
"RCHGF001360"	0	4	0	0	0	0	37	74	20	26	21	12
"RCHGF001361"	5	5	2	1	1	0	155	217	133	252	201	166
"RCHGF001362"	2	0	0	0	0	0	63	90	29	53	41	31
"RCHGF001363"	5	4	2	4	1	2	744	917	428	236	217	235
"RCHGF001364"	8	5	5	3	5	1	721	798	417	279	271	268
"RCHGF001365"	0	0	0	0	0	0	10	13	22	7	8	1
"RCHGF001366"	2	6	3	2	0	0	393	519	308	498	475	374
"RCHGF001367"	4	5	2	1	0	0	802	843	684	429	521	494
"RCHGF001368"	1	1	0	0	0	0	25	45	30	44	34	28
"RCHGF001369"	0	4	0	2	1	0	243	234	121	148	159	119
"RCHGF001370"	0	2	3	0	0	0	264	182	223	138	83	72
"RCHGF001371"	0	0	0	0	0	0	18	22	30	16	5	6
"RCHGF001372"	4	5	2	0	0	0	946	979	980	316	489	366
"RCHGF001373"	2	0	1	0	0	0	23	19	7	9	0	2
"RCHGF001374"	4	5	2	1	3	1	1360	1417	1197	560	591	563
"RCHGF001375"	1	0	0	0	1	1	369	404	361	128	197	128
"RCHGF001376"	0	1	2	1	1	1	645	656	463	262	282	257
"RCHGF001377"	13	20	15	3	9	8	3273	3229	2742	820	956	865
"RCHGF001378"	19	26	22	7	8	12	2600	2822	1507	606	690	646
"RCHGF001379"	20	58	25	3	13	9	5939	6895	3448	1565	2074	1853
"RCHGF001380"	38	69	80	28	17	14	19867	21139	14672	3755	5109	4378
"RCHGF001381"	28	42	45	15	23	13	19888	18815	18677	2682	2749	2422
"RCHGF001382"	22	31	25	16	4	8	4399	4640	2714	5757	7534	6599
"RCHGF001383"	9	29	20	13	6	7	5037	5536	3817	6109	7505	6506
"RCHGF001384"	4	12	5	3	7	3	2678	3008	2308	1949	2510	1997
"RCHGF001385"	0	0	0	0	0	0	7	17	7	15	2	1
"RCHGF001386"	1	2	2	2	0	0	62	71	61	28	23	27
"RCHGF001387"	9	11	20	1	3	3	657	569	441	254	365	318
"RCHGF001388"	3	2	0	1	2	0	141	131	94	90	84	89
"RCHGF001389"	5	8	5	3	2	2	681	592	697	633	555	452
"RCHGF001390"	4	10	11	1	4	11	2308	2052	1811	1160	1510	1296
"RCHGF001391"	5	2	6	5	1	1	276	231	491	17359	6345	4413
"RCHGF001392"	3	5	8	2	0	6	1823	1960	1512	980	1136	1013
"RCHGF001393"	4	3	4	3	1	2	1344	1278	750	833	1409	1141
"RCHGF001394"	9	11	2	0	2	1	4140	4715	1659	2976	4130	3291
"RCHGF001395"	5	4	2	2	1	2	1323	1197	1150	664	950	872
"RCHGF001396"	0	1	0	0	0	0	59	86	29	23	8	12
"RCHGF001397"	0	0	1	0	0	0	62	55	36	25	20	16
"RCHGF001398"	3	0	0	2	0	0	768	699	311	172	233	155
"RCHGF001399"	9	4	3	2	2	3	1669	1607	803	866	1063	907
"RCHGF001400"	1	1	0	0	1	0	475	360	379	295	562	386
"RCHGF001401"	14.643	27	17	13	5	9	4500.83	4341.22	7252.77	4112.26	3216.79	2177
"RCHGF001402"	2	0	0	1	0	2	821	999	675	502	528	435
"RCHGF001403"	1	1	0	0	0	0	481	514	358	163	195	176
"RCHGF001404"	16	17	14	4	10	5	4807	5174	2970	6388	8062	7470
"RCHGF001405"	0	0	1	0	0	0	79	100	52	322	204	272
"RCHGF001406"	3	4	0	3	1	3	1473	1170	1055	2632	1681	1381
"RCHGF001407"	13	5	2	6	4	0	1051	1141	863	49875	22017	25061
"RCHGF001408"	4	1	2	2	1	3	455	455	487	233	251	175
"RCHGF001409"	0	0	0	0	0	0	50	69	77	17	22	12
"RCHGF001410"	4	3	1	1	1	0	683	506	729	361	539	401
"RCHGF001411"	0	1	1	0	0	0	156	258	118	94	103	75
"RCHGF001412"	8	5	2	2	0	0	368	422	186	190	169	120
"RCHGF001413"	0	3	0	0	0	0	114	145	45	52	46	44
"RCHGF001414"	4	5	3	0	0	0	219	215	109	112	96	87
"RCHGF001415"	1	3	1	1	1	0	162	184	113	168	112	112
"RCHGF001416"	1	3	2	4	1	1	231	265	119	122	83	85
"RCHGF001417"	0	0	0	0	0	0	84	140	72	24	47	30
"RCHGF001418"	0	2	0	0	0	0	87	57	36	28	29	31
"RCHGF001419"	0	3	1	0	0	0	80	97	30	33	37	27
"RCHGF001420"	0	3	0	0	0	0	51	83	47	58	33	31
"RCHGF001421"	0	0	0	0	0	0	17	16	7	8	10	9
"RCHGF001422"	0	9	5	0	1	0	250	286	108	72	84	66
"RCHGF001423"	165	270	158	58	63	65	12709	15740	4901	4738	6233	5469
"RCHGF001424"	29	30	23	18	8	9	10472	9012	4813	3426	5066	3849
"RCHGF001426"	0	0	0	1	0	0	84	94	56	39	19	10
"RCHGF001427"	1	2	0	0	0	0	59	115	46	48	40	33
"RCHGF001428"	10	9	7	0	1	0	1085	982	1296	480	604	581
"RCHGF001430"	25	25	24	14	5	11	3042	2895	1797	3479	3074	2422
"RCHGF001431"	2	4	4	0	1	1	502	482	385	258	444	394
"RCHGF001432"	7	5	8	0	3	2	1414	1927	737	744	933	804
"RCHGF001433"	5	11	10	2	2	5	2660	3180	1910	1710	2404	2045
"RCHGF001434"	16	22	7	7	1	7	4822	5363	3758	2768	3842	3550
"RCHGF001435"	1	4	2	2	0	3	1314	1286	1083	664	883	721
"RCHGF001436"	5	9	11	1	5	7	3112	3436	3129	1469	1727	1467
"RCHGF001437"	1	10	1	0	0	0	427.766	382.948	150.967	43	79.2893	28.6947
"RCHGF001438"	19	24	12	8	8	9	2147.23	2054.05	829.033	137	111.711	108.305
"RCHGF001439"	7	5	4	5	4	0	796	652	236	130	117	118
"RCHGF001440"	5	18	9	3	3	6	2104	1990	1727	1580	2520	2269
"RCHGF001441"	3	6	10	2	2	2	1996	1943	1701	1934	2901	2487
"RCHGF001442"	3	2	0	0	0	0	139	153	97	106	97	75
"RCHGF001443"	0	1	0	0	0	3	78	112	130	79	85	66
"RCHGF001444"	1	1	0	0	1	0	164	162	99	92	116	105
"RCHGF001445"	1	1	1	0	0	0	174	201	215	82	109	118
"RCHGF001447"	1	0	5	1	0	0	327	410	255	2896	3128	2636
"RCHGF001448"	0	3	2	1	0	0	253	249	215	5054	6629	5691
"RCHGF001449"	2	1	1	9	0	0	174	222	206	1983	2842	2882
"RCHGF001450"	2	17	2	6	0	0	207	220	130	3235	3224	2548
"RCHGF001451"	2	0	0	0	0	0	55	68	47	1368	1613	1264
"RCHGF001452"	2	0	1	0	0	0	41	72	49	982	877	937
"RCHGF001453"	2	1	1	1	0	0	179	186	138	3826	4096	3610
"RCHGF001454"	1	3	0	0	2	0	238	254	160	8187	8178	6928
"RCHGF001455"	0	6	3	0	0	0	230	263	227	5927	5767	4779
"RCHGF001456"	6	10	1	4	4	0	1597	1867	1502	906	1085	923
"RCHGF001457"	3	11	5	9	4	1	1705	2017	1822	965	892	815
"RCHGF001458"	12	19	13	8	2	0	2835	2760	2170	1994	2666	2468
"RCHGF001459"	0	2	3	0	3	1	991	954	389	669	858	638
"RCHGF001460"	0	5	6	1	0	0	319	450	191	208	237	219
"RCHGF001461"	14	3	4	1	2	3	1848	1837	1108	1460	1913	1425
"RCHGF001462"	10	6	5	3	1	2	2328	2384	1930	2264	3091	2592
"RCHGF001463"	0	0	1	0	0	0	50	77	36	42	53	52
"RCHGF001464"	4	4	3	3	0	1	906	1037	614	566	595	468
"RCHGF001465"	0	3	1	0	0	1	354	265	139	96	134	120
"RCHGF001466"	3	2	7	1	0	0	947	987	430	475	483	459
"RCHGF001467"	1	6	2	0	2	1	789	792	456	425	508	402
"RCHGF001468"	12	18	12	8	7	6	3700	4113	1705	1772	2429	2159
"RCHGF001469"	10	3	3	0	8	3	2705	2298	4917	1583	1476	1267
"RCHGF001470"	0	1	1	2	0	0	151	183	119	103	89	97
"RCHGF001471"	1	1	0	0	0	0	128	194	127	198	137	139
"RCHGF001472"	0	0	1	0	0	0	86.2589	111.239	77.0419	51.162	32.0452	33.1041
"RCHGF001473"	6	1	0	1	1	1	633	626	352	180	317	293
"RCHGF001474"	1	10	2	2	1	0	363	417	246	144	182	173
"RCHGF001475"	3	1	0	0	0	0	224	187	200	51	82	51
"RCHGF001476"	1	0	6	1	5	3	1112	1121	1036	546	541	473
"RCHGF001477"	9	16	7	2	6	7	2018	1887	1252	775	798	729
"RCHGF001478"	4	2	1	0	0	0	517	463	276	146	254	200
"RCHGF001479"	3	0	1	0	1	0	375	333	357	158	128	124
"RCHGF001480"	10	6	7	2	2	1	1918	1536	1487	777	1087	959
"RCHGF001481"	2	10	5	3	4	2	2954	3143	2549	1673	2306	1824
"RCHGF001482"	12	18	14	6	2	2	2349	2445	1087	1198	1807	1615
"RCHGF001483"	16	26	35	5	11	0	2537	3635	1190	1894	2294	2109
"RCHGF001484"	10	13	10	5	4	8	3392	3291	3285	1671	1872	1813
"RCHGF001485"	6	10	8	3	0	2	3438	3714	2725	2100	2028	1727
"RCHGF001486"	1	2	0	0	0	0	213	257	178	231	171	183
"RCHGF001487"	2	1	0	0	0	3	454	560	285	340	392	409
"RCHGF001488"	1	0	0	0	0	0	184	211	117	83	108	80
"RCHGF001489"	0	0	0	0	0	0	125	143	77	116	129	126
"RCHGF001490"	0	5	0	0	0	1	533	521	279	349	294	332
"RCHGF001491"	0	0	0	0	0	0	571	417	761	120	349	271
"RCHGF001492"	0	2	0	1	1	0	1163	766	1204	457	625	397
"RCHGF001493"	0	7	6	1	3	0	2013	2149	1861	1973	3505	2947
"RCHGF001495"	34	42	35	23	22	13	5958	5926	3447	5079	5754	5044
"RCHGF001496"	2	5	0	0	0	3	1011	1041	1012	1272	1543	1408
"RCHGF001497"	6	0	3	1	1	2	808	848	755	985	1138	980
"RCHGF001498"	0	0	0	0	0	0	73	102	69	230	140	113
