locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000460	GeneMarkS-2+	CDS	515737	515916		+	0	ID=cds-pgaptmp_000460;Parent=gene-pgaptmp_000460;Name=extdb:pgaptmp_000460;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000460;product=hypothetical protein;protein_id=extdb:pgaptmp_000460;transl_table=11	hypothetical protein	411468.CLOSCI_01508	1.36E-33	116	2BE3W@1|root,327UK@2|Bacteria,1UTRG@1239|Firmicutes,25PA5@186801|Clostridia,2235A@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000461	GeneMarkS-2+	CDS	515909	516220		+	0	ID=cds-pgaptmp_000461;Parent=gene-pgaptmp_000461;Name=extdb:pgaptmp_000461;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000461;product=hypothetical protein;protein_id=extdb:pgaptmp_000461;transl_table=11	hypothetical protein	742741.HMPREF9475_00442	7.67E-63	192	2DRWZ@1|root,33DG7@2|Bacteria,1VP3P@1239|Firmicutes,25JJU@186801|Clostridia,222WW@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000462	Protein Homology	CDS	516269	516637		+	0	ID=cds-pgaptmp_000462;Parent=gene-pgaptmp_000462;Name=extdb:pgaptmp_000462;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004605282.1;locus_tag=pgaptmp_000462;product=hypothetical protein;protein_id=extdb:pgaptmp_000462;transl_table=11	hypothetical protein	742741.HMPREF9475_00443	9.61E-75	224	2B8HN@1|root,321SQ@2|Bacteria,1UEKA@1239|Firmicutes,25JIM@186801|Clostridia,222U6@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000463	Protein Homology	CDS	516634	516999		+	0	ID=cds-pgaptmp_000463;Parent=gene-pgaptmp_000463;Name=extdb:pgaptmp_000463;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004605283.1;locus_tag=pgaptmp_000463;product=hypothetical protein;protein_id=extdb:pgaptmp_000463;transl_table=11	hypothetical protein	742741.HMPREF9475_00444	3.93E-78	233	2E6KB@1|root,33171@2|Bacteria,1VJ9D@1239|Firmicutes,24TRM@186801|Clostridia,222U4@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000464	Protein Homology	CDS	516992	517327		+	0	ID=cds-pgaptmp_000464;Parent=gene-pgaptmp_000464;Name=extdb:pgaptmp_000464;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506211.1;locus_tag=pgaptmp_000464;product=hypothetical protein;protein_id=extdb:pgaptmp_000464;transl_table=11	hypothetical protein	742741.HMPREF9475_00445	1.81E-67	205	2A5EA@1|root,30U42@2|Bacteria,1UQ5V@1239|Firmicutes,257UR@186801|Clostridia,222XT@1506553|Lachnoclostridium	186801|Clostridia																cc11824	CaCA		multidrug efflux	2.A.19		
pgaptmp_000464	Protein Homology	CDS	516992	517327		+	0	ID=cds-pgaptmp_000464;Parent=gene-pgaptmp_000464;Name=extdb:pgaptmp_000464;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506211.1;locus_tag=pgaptmp_000464;product=hypothetical protein;protein_id=extdb:pgaptmp_000464;transl_table=11	hypothetical protein	742741.HMPREF9475_00445	1.81E-67	205	2A5EA@1|root,30U42@2|Bacteria,1UQ5V@1239|Firmicutes,257UR@186801|Clostridia,222XT@1506553|Lachnoclostridium	186801|Clostridia																cc11824	MFS		multidrug efflux	2.A.1		
pgaptmp_000465	Protein Homology	CDS	517324	518139		+	0	ID=cds-pgaptmp_000465;Parent=gene-pgaptmp_000465;Name=extdb:pgaptmp_000465;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506213.1;locus_tag=pgaptmp_000465;product=SH3 domain-containing protein;protein_id=extdb:pgaptmp_000465;transl_table=11	SH3 domain-containing protein	742741.HMPREF9475_00446	2.84E-199	551	2DN8Y@1|root,32W5U@2|Bacteria,1VBWS@1239|Firmicutes,24PRC@186801|Clostridia,222NM@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000466	Protein Homology	CDS	518157	518882		+	0	ID=cds-pgaptmp_000466;Parent=gene-pgaptmp_000466;Name=extdb:pgaptmp_000466;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506215.1;locus_tag=pgaptmp_000466;product=hypothetical protein;protein_id=extdb:pgaptmp_000466;transl_table=11	hypothetical protein	742741.HMPREF9475_00447	3.01E-145	412	28ZX6@1|root,2ZMMN@2|Bacteria,1W1Y2@1239|Firmicutes,255PP@186801|Clostridia,2229E@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000467	Protein Homology	CDS	519148	519408		+	0	ID=cds-pgaptmp_000467;Parent=gene-pgaptmp_000467;Name=extdb:pgaptmp_000467;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003505495.1;locus_tag=pgaptmp_000467;product=DUF4160 domain-containing protein;protein_id=extdb:pgaptmp_000467;transl_table=11	DUF4160 domain-containing protein	742741.HMPREF9475_00448	3.57E-60	184	2E3EN@1|root,32YDN@2|Bacteria,1VDEB@1239|Firmicutes,25FXN@186801|Clostridia,223DI@1506553|Lachnoclostridium	186801|Clostridia	S	Domain of unknown function (DUF4160)													DUF4160							
pgaptmp_000468	Protein Homology	CDS	519421	519696		+	0	ID=cds-pgaptmp_000468;Parent=gene-pgaptmp_000468;Name=extdb:pgaptmp_000468;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003505492.1;locus_tag=pgaptmp_000468;product=DUF2442 domain-containing protein;protein_id=extdb:pgaptmp_000468;transl_table=11	DUF2442 domain-containing protein	742741.HMPREF9475_00449	4.38E-61	187	2DZYH@1|root,32XJC@2|Bacteria,1VGUH@1239|Firmicutes,25HRQ@186801|Clostridia,2234A@1506553|Lachnoclostridium	186801|Clostridia	S	Protein of unknown function (DUF2442)													DUF2442							
pgaptmp_000469	Protein Homology	CDS	520225	521490		+	0	ID=cds-pgaptmp_000469;Parent=gene-pgaptmp_000469;Name=extdb:pgaptmp_000469;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497733.1;locus_tag=pgaptmp_000469;product=ABC transporter substrate-binding protein;protein_id=extdb:pgaptmp_000469;transl_table=11	ABC transporter substrate-binding protein	742741.HMPREF9475_00450	6.57E-292	798	COG0683@1|root,COG0683@2|Bacteria,1TPQ2@1239|Firmicutes,248H1@186801|Clostridia,21XNG@1506553|Lachnoclostridium	186801|Clostridia	E	Receptor family ligand binding region				ko:K01999	ko02010,ko02024,map02010,map02024	M00237			ko00000,ko00001,ko00002,ko02000	3.A.1.4			Peripla_BP_6	cc11824	ABC	binding	leucine/valine	3.A.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
pgaptmp_000470	Protein Homology	CDS	521565	522440		+	0	ID=cds-pgaptmp_000470;Parent=gene-pgaptmp_000470;Name=extdb:pgaptmp_000470;Ontology_term=GO:0015803,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;go_process=branched-chain amino acid transport|0015803||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506219.1;locus_tag=pgaptmp_000470;product=branched-chain amino acid ABC transporter permease;protein_id=extdb:pgaptmp_000470;transl_table=11	branched-chain amino acid ABC transporter permease	742741.HMPREF9475_00451	8.63E-195	541	COG0559@1|root,COG0559@2|Bacteria,1V2WK@1239|Firmicutes,24GFW@186801|Clostridia,223Z8@1506553|Lachnoclostridium	186801|Clostridia	U	Branched-chain amino acid transport system / permease component													BPD_transp_2	cc11824	ABC	membrane	branched-chain amino acid	3.A.1	K01997	livH; branched-chain amino acid transport system permease protein
pgaptmp_000471	Protein Homology	CDS	522454	523344		+	0	ID=cds-pgaptmp_000471;Parent=gene-pgaptmp_000471;Name=extdb:pgaptmp_000471;Ontology_term=GO:0015803,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;go_process=branched-chain amino acid transport|0015803||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506221.1;locus_tag=pgaptmp_000471;product=branched-chain amino acid ABC transporter permease;protein_id=extdb:pgaptmp_000471;transl_table=11	branched-chain amino acid ABC transporter permease	742741.HMPREF9475_00452	1.27E-194	541	COG4177@1|root,COG4177@2|Bacteria,1UZ69@1239|Firmicutes,24EFF@186801|Clostridia,223YU@1506553|Lachnoclostridium	186801|Clostridia	U	Branched-chain amino acid transport system / permease component													BPD_transp_2	cc11824	ABC	membrane	branched-chain amino acid	3.A.1	K01998	livM; branched-chain amino acid transport system permease protein
pgaptmp_000472	Protein Homology	CDS	523337	524107		+	0	ID=cds-pgaptmp_000472;Parent=gene-pgaptmp_000472;Name=extdb:pgaptmp_000472;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506223.1;locus_tag=pgaptmp_000472;product=ABC transporter ATP-binding protein;protein_id=extdb:pgaptmp_000472;transl_table=11	ABC transporter ATP-binding protein	742741.HMPREF9475_00453	1.14E-177	495	COG0411@1|root,COG0411@2|Bacteria,1V3CC@1239|Firmicutes,24GSP@186801|Clostridia,220N4@1506553|Lachnoclostridium	186801|Clostridia	E	Branched-chain amino acid ATP-binding cassette transporter													ABC_tran,BCA_ABC_TP_C	cc11824	ABC	binding	daunorubicin	3.A.1	K01995	livG; branched-chain amino acid transport system ATP-binding protein
pgaptmp_000473	Protein Homology	CDS	524091	524795		+	0	ID=cds-pgaptmp_000473;Parent=gene-pgaptmp_000473;Name=extdb:pgaptmp_000473;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497728.1;locus_tag=pgaptmp_000473;product=ABC transporter ATP-binding protein;protein_id=extdb:pgaptmp_000473;transl_table=11	ABC transporter ATP-binding protein	742741.HMPREF9475_00454	4.8E-159	446	COG0410@1|root,COG0410@2|Bacteria,1V39C@1239|Firmicutes,24G7J@186801|Clostridia,223T8@1506553|Lachnoclostridium	186801|Clostridia	E	ABC transporter													ABC_tran	cc11824	ABC	binding	daunorubicin	3.A.1	K01996	livF; branched-chain amino acid transport system ATP-binding protein
pgaptmp_000474	Protein Homology	CDS	525349	526770		+	0	ID=cds-pgaptmp_000474;Parent=gene-pgaptmp_000474;Name=extdb:pgaptmp_000474;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002586694.1;locus_tag=pgaptmp_000474;product=PhoH family protein;protein_id=extdb:pgaptmp_000474;transl_table=11	PhoH family protein	742741.HMPREF9475_00455	0	915	COG1875@1|root,COG1875@2|Bacteria,1UHTD@1239|Firmicutes,25ED1@186801|Clostridia,21YH0@1506553|Lachnoclostridium	186801|Clostridia	T	PIN domain	phoH			ko:K07175					ko00000				PIN_4,PhoH						K07175	phoH2; PhoH-like ATPase
pgaptmp_000475	Protein Homology	CDS	527498	529213		+	0	ID=cds-pgaptmp_000475;Parent=gene-pgaptmp_000475;Name=extdb:pgaptmp_000475;Ontology_term=GO:0015833,GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;go_process=peptide transport|0015833||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009297688.1;locus_tag=pgaptmp_000475;product=carbon starvation CstA family protein;protein_id=extdb:pgaptmp_000475;transl_table=11	carbon starvation CstA family protein	742741.HMPREF9475_00456	0	1027	COG1966@1|root,COG1966@2|Bacteria,1TQN8@1239|Firmicutes,248DZ@186801|Clostridia,21XWZ@1506553|Lachnoclostridium	186801|Clostridia	T	5TM C-terminal transporter carbon starvation CstA	cstA			ko:K06200					ko00000				CstA,CstA_5TM						K06200	cstA; carbon starvation protein
pgaptmp_000476	Protein Homology	CDS	529511	530836		+	0	ID=cds-pgaptmp_000476;Parent=gene-pgaptmp_000476;Name=extdb:pgaptmp_000476;Ontology_term=GO:0006855,GO:0042910,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=xenobiotic transmembrane transporter activity|0042910||IEA;go_process=xenobiotic transmembrane transport|0006855||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506228.1;locus_tag=pgaptmp_000476;product=MATE family efflux transporter;protein_id=extdb:pgaptmp_000476;transl_table=11	MATE family efflux transporter	742741.HMPREF9475_00457	2.79E-305	846	COG0534@1|root,COG0534@2|Bacteria,1TQMT@1239|Firmicutes,249WJ@186801|Clostridia,21XYA@1506553|Lachnoclostridium	186801|Clostridia	V	Psort location CytoplasmicMembrane, score 9.99													MatE	cc11824	MOP	MATE	multidrug efflux	2.A.66	K26937	dinF, mepA, vmrA; MATE family, multidrug efflux pump
pgaptmp_000477	Protein Homology	CDS	530945	531862		+	0	ID=cds-pgaptmp_000477;Parent=gene-pgaptmp_000477;Name=extdb:pgaptmp_000477;Ontology_term=GO:0006508,GO:0008236,GO:0016787;gbkey=CDS;go_function=serine-type peptidase activity|0008236||IEA,hydrolase activity|0016787||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009297686.1;locus_tag=pgaptmp_000477;product=S66 family peptidase;protein_id=extdb:pgaptmp_000477;transl_table=11	S66 family peptidase	742741.HMPREF9475_00458	2.38E-224	617	COG1619@1|root,COG1619@2|Bacteria,1TRBB@1239|Firmicutes,24ABA@186801|Clostridia,21XZ5@1506553|Lachnoclostridium	186801|Clostridia	V	Psort location Cytoplasmic, score 8.87			3.4.17.13	ko:K01297					ko00000,ko01000,ko01002,ko01011				Peptidase_S66							
pgaptmp_000478	Protein Homology	CDS	532041	533711		+	0	ID=cds-pgaptmp_000478;Parent=gene-pgaptmp_000478;Name=extdb:pgaptmp_000478;Ontology_term=GO:0009098,GO:0003852;gbkey=CDS;gene=leuA;go_function=2-isopropylmalate synthase activity|0003852||IEA;go_process=L-leucine biosynthetic process|0009098||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506232.1;locus_tag=pgaptmp_000478;product=2-isopropylmalate synthase;protein_id=extdb:pgaptmp_000478;transl_table=11	2-isopropylmalate synthase	742741.HMPREF9475_00459	0	1115	COG0119@1|root,COG0119@2|Bacteria,1TP4Y@1239|Firmicutes,2485A@186801|Clostridia,21Y6A@1506553|Lachnoclostridium	186801|Clostridia	H	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)	leuA		2.3.3.13	ko:K01649	ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230	M00432	R01213	RC00004,RC00470,RC02754	br01601,ko00000,ko00001,ko00002,ko01000				HMGL-like,LeuA_dimer						K01649	leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]
pgaptmp_000479	Protein Homology	CDS	533972	535255		-	0	ID=cds-pgaptmp_000479;Parent=gene-pgaptmp_000479;Name=extdb:pgaptmp_000479;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009297684.1;locus_tag=pgaptmp_000479;product=hypothetical protein;protein_id=extdb:pgaptmp_000479;transl_table=11	hypothetical protein	742741.HMPREF9475_00460	2.75E-281	770	29VR4@1|root,30H8N@2|Bacteria,1UHAH@1239|Firmicutes,25Q0H@186801|Clostridia,221JV@1506553|Lachnoclostridium	186801|Clostridia																						
pgaptmp_000480	Protein Homology	CDS	535495	535716		+	0	ID=cds-pgaptmp_000480;Parent=gene-pgaptmp_000480;Name=extdb:pgaptmp_000480;Ontology_term=GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497711.1;locus_tag=pgaptmp_000480;product=GntR family transcriptional regulator;protein_id=extdb:pgaptmp_000480;transl_table=11	GntR family transcriptional regulator	742741.HMPREF9475_00461	7.68E-47	150	COG1802@1|root,COG1802@2|Bacteria	2|Bacteria	K	Transcriptional regulator													FCD,GntR							
pgaptmp_000481	Protein Homology	CDS	536216	536807		+	0	ID=cds-pgaptmp_000481;Parent=gene-pgaptmp_000481;Note=frameshifted;Ontology_term=GO:0032259,GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;go_process=methylation|0032259||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009297683.1;locus_tag=pgaptmp_000481;product=class I SAM-dependent methyltransferase;pseudo=true;transl_table=11	class I SAM-dependent methyltransferase	742741.HMPREF9475_00462	1.29E-88	263	COG0500@1|root,COG0500@2|Bacteria,1UI1D@1239|Firmicutes,25EAD@186801|Clostridia,223RF@1506553|Lachnoclostridium	186801|Clostridia	Q	Tellurite resistance protein TehB													Methyltransf_11,Methyltransf_23,Methyltransf_25,NUDIX							
pgaptmp_000482	Protein Homology	CDS	536774	539270		+	0	ID=cds-pgaptmp_000482;Parent=gene-pgaptmp_000482;Note=frameshifted;Ontology_term=GO:0003677,GO:0005524,GO:0016787;gbkey=CDS;go_function=DNA binding|0003677||IEA,ATP binding|0005524||IEA,hydrolase activity|0016787||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004079852.1;locus_tag=pgaptmp_000482;product=DEAD/DEAH box helicase family protein;pseudo=true;transl_table=11	DEAD/DEAH box helicase family protein	742741.HMPREF9475_00464	1.04E-55	194	COG3886@1|root,COG3886@2|Bacteria,1VXNH@1239|Firmicutes,25G6T@186801|Clostridia	186801|Clostridia	L	PLD-like domain													PLDc_2							
pgaptmp_000483	Protein Homology	CDS	539496	539984		-	0	ID=cds-pgaptmp_000483;Parent=gene-pgaptmp_000483;Name=extdb:pgaptmp_000483;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497706.1;locus_tag=pgaptmp_000483;product=HD domain-containing protein;protein_id=extdb:pgaptmp_000483;transl_table=11	HD domain-containing protein	742741.HMPREF9475_00466	4.43E-115	329	COG2206@1|root,COG2206@2|Bacteria,1UI74@1239|Firmicutes,25EC7@186801|Clostridia,220FC@1506553|Lachnoclostridium	186801|Clostridia	T	HD domain													HD							
pgaptmp_000484	Protein Homology	CDS	540328	541437		+	0	ID=cds-pgaptmp_000484;Parent=gene-pgaptmp_000484;Name=extdb:pgaptmp_000484;Ontology_term=GO:0009273,GO:0008767;gbkey=CDS;gene=glf;go_function=UDP-galactopyranose mutase activity|0008767||IEA;go_process=peptidoglycan-based cell wall biogenesis|0009273||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497705.1;locus_tag=pgaptmp_000484;product=UDP-galactopyranose mutase;protein_id=extdb:pgaptmp_000484;transl_table=11	UDP-galactopyranose mutase	742741.HMPREF9475_00467	7.75E-285	776	COG0562@1|root,COG0562@2|Bacteria,1TQB9@1239|Firmicutes,249BR@186801|Clostridia,21XYQ@1506553|Lachnoclostridium	186801|Clostridia	M	UDP-galactopyranose mutase	glf		5.4.99.9	ko:K01854	ko00052,ko00520,map00052,map00520		R00505,R09009	RC00317,RC02396	ko00000,ko00001,ko01000				GLF,NAD_binding_8						K01854	glf; UDP-galactopyranose mutase [EC:5.4.99.9]
pgaptmp_000485	Protein Homology	CDS	541427	542365		+	0	ID=cds-pgaptmp_000485;Parent=gene-pgaptmp_000485;Name=extdb:pgaptmp_000485;Ontology_term=GO:0009103,GO:0016740;gbkey=CDS;go_function=transferase activity|0016740||IEA;go_process=lipopolysaccharide biosynthetic process|0009103||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506246.1;locus_tag=pgaptmp_000485;product=LicD family protein;protein_id=extdb:pgaptmp_000485;transl_table=11	LicD family protein	742741.HMPREF9475_00468	2.72E-238	653	COG3475@1|root,COG3475@2|Bacteria,1V0P4@1239|Firmicutes,25B2A@186801|Clostridia,21ZZH@1506553|Lachnoclostridium	186801|Clostridia	M	LicD family				ko:K07271					ko00000,ko01000				LicD						K07271	licD; lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]
pgaptmp_000486	Protein Homology	CDS	542386	543711		+	0	ID=cds-pgaptmp_000486;Parent=gene-pgaptmp_000486;Name=extdb:pgaptmp_000486;Ontology_term=GO:0140327,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=flippase activity|0140327||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497703.1;locus_tag=pgaptmp_000486;product=lipopolysaccharide biosynthesis protein;protein_id=extdb:pgaptmp_000486;transl_table=11	lipopolysaccharide biosynthesis protein	742741.HMPREF9475_00469	9.74E-305	847	COG2244@1|root,COG2244@2|Bacteria,1TTBW@1239|Firmicutes,24AEQ@186801|Clostridia,21Z4D@1506553|Lachnoclostridium	186801|Clostridia	S	Polysaccharide biosynthesis protein													Polysacc_synt	cc11824	MOP		multidrug efflux	2.A.66		
pgaptmp_000487	Protein Homology	CDS	543708	544799		+	0	ID=cds-pgaptmp_000487;Parent=gene-pgaptmp_000487;Name=extdb:pgaptmp_000487;Ontology_term=GO:0030170;gbkey=CDS;go_function=pyridoxal phosphate binding|0030170||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497702.1;locus_tag=pgaptmp_000487;product=pyridoxal-phosphate-dependent aminotransferase family protein;protein_id=extdb:pgaptmp_000487;transl_table=11	pyridoxal-phosphate-dependent aminotransferase family protein	742741.HMPREF9475_00470	2.52E-262	718	COG0075@1|root,COG0075@2|Bacteria,1TPS0@1239|Firmicutes,24919@186801|Clostridia,221ZE@1506553|Lachnoclostridium	186801|Clostridia	E	Aminotransferase class-V													Aminotran_5							
pgaptmp_000488	Protein Homology	CDS	544796	545515		+	0	ID=cds-pgaptmp_000488;Parent=gene-pgaptmp_000488;Name=extdb:pgaptmp_000488;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497701.1;locus_tag=pgaptmp_000488;product=NTP transferase domain-containing protein;protein_id=extdb:pgaptmp_000488;transl_table=11	NTP transferase domain-containing protein	742741.HMPREF9475_00471	2.81E-174	485	COG1213@1|root,COG1213@2|Bacteria,1V3I9@1239|Firmicutes,24E2I@186801|Clostridia,22414@1506553|Lachnoclostridium	186801|Clostridia	M	Nucleotidyl transferase													NTP_transf_3							
pgaptmp_000489	Protein Homology	CDS	545638	547620		+	0	ID=cds-pgaptmp_000489;Parent=gene-pgaptmp_000489;Name=extdb:pgaptmp_000489;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003506252.1;locus_tag=pgaptmp_000489;product=DUF2142 domain-containing protein;protein_id=extdb:pgaptmp_000489;transl_table=11	DUF2142 domain-containing protein	742741.HMPREF9475_00472	0	1332	COG4713@1|root,COG4713@2|Bacteria,1UY68@1239|Firmicutes,24A5N@186801|Clostridia,220C3@1506553|Lachnoclostridium	186801|Clostridia	S	Predicted membrane protein (DUF2142)													DUF2142							
pgaptmp_000490	Protein Homology	CDS	547647	548510		+	0	ID=cds-pgaptmp_000490;Parent=gene-pgaptmp_000490;Name=extdb:pgaptmp_000490;Ontology_term=GO:0006486,GO:0016757;gbkey=CDS;go_function=glycosyltransferase activity|0016757||IEA;go_process=protein glycosylation|0006486||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009297678.1;locus_tag=pgaptmp_000490;product=glycosyltransferase family 2 protein;protein_id=extdb:pgaptmp_000490;transl_table=11	glycosyltransferase family 2 protein	742741.HMPREF9475_00473	2.02E-216	596	COG0463@1|root,COG0463@2|Bacteria,1UY4E@1239|Firmicutes,24CT1@186801|Clostridia,21YT4@1506553|Lachnoclostridium	186801|Clostridia	M	Glycosyl transferase family 2													Glycos_transf_2							
pgaptmp_000491	Protein Homology	CDS	548673	549632		+	0	ID=cds-pgaptmp_000491;Parent=gene-pgaptmp_000491;Name=extdb:pgaptmp_000491;Ontology_term=GO:0016757;gbkey=CDS;go_function=glycosyltransferase activity|0016757||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497695.1;locus_tag=pgaptmp_000491;product=glycosyltransferase family 2 protein;protein_id=extdb:pgaptmp_000491;transl_table=11	glycosyltransferase family 2 protein	742741.HMPREF9475_00474	2.24E-236	649	COG1216@1|root,COG1216@2|Bacteria,1TSXW@1239|Firmicutes,2499G@186801|Clostridia,21XRW@1506553|Lachnoclostridium	186801|Clostridia	S	Glycosyl transferase family 2				ko:K12992	ko02025,map02025				ko00000,ko00001,ko01000,ko01003,ko01005		GT2		Glycos_transf_2							
pgaptmp_000492	Protein Homology	CDS	549712	550401		+	0	ID=cds-pgaptmp_000492;Parent=gene-pgaptmp_000492;Name=extdb:pgaptmp_000492;Ontology_term=GO:0016757;gbkey=CDS;go_function=glycosyltransferase activity|0016757||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497693.1;locus_tag=pgaptmp_000492;product=glycosyltransferase family 2 protein;protein_id=extdb:pgaptmp_000492;transl_table=11	glycosyltransferase family 2 protein	742741.HMPREF9475_00475	2.8E-160	449	COG1216@1|root,COG1216@2|Bacteria,1TS11@1239|Firmicutes,24BQ6@186801|Clostridia,21YSP@1506553|Lachnoclostridium	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87			2.4.1.83	ko:K00721	ko00510,ko01100,map00510,map01100		R01009	RC00005	ko00000,ko00001,ko01000,ko01003		GT2		Glycos_transf_2							
pgaptmp_000493	Protein Homology	CDS	550405	550803		+	0	ID=cds-pgaptmp_000493;Parent=gene-pgaptmp_000493;Name=extdb:pgaptmp_000493;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003497691.1;locus_tag=pgaptmp_000493;product=DUF2304 domain-containing protein;protein_id=extdb:pgaptmp_000493;transl_table=11	DUF2304 domain-containing protein	742741.HMPREF9475_00476	1.77E-68	209	COG2456@1|root,COG2456@2|Bacteria,1VFCF@1239|Firmicutes,24QX3@186801|Clostridia,220DJ@1506553|Lachnoclostridium	186801|Clostridia	S	Uncharacterized conserved protein (DUF2304)				ko:K09153					ko00000				DUF2304							
