locus_tag	seqid_pgap	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000116	contig105	Protein Homology	CDS	84725	86098		+	0	ID=cds-pgaptmp_000116;Parent=gene-pgaptmp_000116;Name=extdb:pgaptmp_000116;Ontology_term=GO:0008649;gbkey=CDS;gene=rlmD;go_function=rRNA methyltransferase activity|0008649||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016373214.1;locus_tag=pgaptmp_000116;product=23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD;protein_id=extdb:pgaptmp_000116;transl_table=11	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	543734.LCABL_12260	0	892	COG2265@1|root,COG2265@2|Bacteria,1TP4H@1239|Firmicutes,4HA6M@91061|Bacilli,3F41R@33958|Lactobacillaceae	91061|Bacilli	J	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family	rumA_2		2.1.1.190	ko:K03215					ko00000,ko01000,ko03009				TRAM,tRNA_U5-meth_tr						K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
pgaptmp_000117	contig105	Protein Homology	CDS	86718	87923		+	0	ID=cds-pgaptmp_000117;Parent=gene-pgaptmp_000117;Name=extdb:pgaptmp_000117;Ontology_term=GO:0055085,GO:0022857;gbkey=CDS;go_function=transmembrane transporter activity|0022857||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003658441.1;locus_tag=pgaptmp_000117;product=MFS transporter;protein_id=extdb:pgaptmp_000117;transl_table=11	MFS transporter	543734.LCABL_12270	2.84E-267	734	COG0477@1|root,COG2814@2|Bacteria,1TPJ6@1239|Firmicutes,4HAGJ@91061|Bacilli,3F4F9@33958|Lactobacillaceae	91061|Bacilli	EGP	Major Facilitator	yttB												MFS_1	ll11825	MFS		multidrug efflux	2.A.1		
pgaptmp_000118	contig105	Protein Homology	CDS	87962	88717		+	0	ID=cds-pgaptmp_000118;Parent=gene-pgaptmp_000118;Name=extdb:pgaptmp_000118;Ontology_term=GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;inference=COORDINATES: protein motif:HMM:NF012669.6;locus_tag=pgaptmp_000118;product=DeoR/GlpR family DNA-binding transcription regulator;protein_id=extdb:pgaptmp_000118;transl_table=11	DeoR/GlpR family DNA-binding transcription regulator	1122147.AUEH01000062_gene1385	1.58E-58	193	COG1349@1|root,COG1349@2|Bacteria,1V1VH@1239|Firmicutes,4HG12@91061|Bacilli,3F3UT@33958|Lactobacillaceae	91061|Bacilli	K	DeoR C terminal sensor domain				ko:K22103					ko00000,ko03000				DeoRC,HTH_DeoR						K22103	glcR; DeoR family transcriptional regulator, carbon catabolite repression regulator
pgaptmp_000119	contig105	Protein Homology	CDS	88830	89642		+	0	ID=cds-pgaptmp_000119;Parent=gene-pgaptmp_000119;Name=extdb:pgaptmp_000119;Ontology_term=GO:0016787;gbkey=CDS;go_function=hydrolase activity|0016787||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003569766.1;locus_tag=pgaptmp_000119;product=Cof-type HAD-IIB family hydrolase;protein_id=extdb:pgaptmp_000119;transl_table=11	Cof-type HAD-IIB family hydrolase	543734.LCABL_12280	2.74E-160	452	COG0561@1|root,COG0561@2|Bacteria,1VAFW@1239|Firmicutes,4HWQV@91061|Bacilli,3FC8C@33958|Lactobacillaceae	91061|Bacilli	S	Sucrose-6F-phosphate phosphohydrolase													Hydrolase_3							
pgaptmp_000120	contig105	Protein Homology	CDS	89723	90598		-	0	ID=cds-pgaptmp_000120;Parent=gene-pgaptmp_000120;Name=extdb:pgaptmp_000120;Ontology_term=GO:0006797,GO:0016776;gbkey=CDS;go_function=phosphotransferase activity%2C phosphate group as acceptor|0016776||IEA;go_process=polyphosphate metabolic process|0006797||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003587598.1;locus_tag=pgaptmp_000120;product=PPK2 family polyphosphate kinase;protein_id=extdb:pgaptmp_000120;transl_table=11	PPK2 family polyphosphate kinase	543734.LCABL_12290	1.98E-200	556	COG2326@1|root,COG2326@2|Bacteria,1TQQR@1239|Firmicutes,4HDT2@91061|Bacilli,3F59Q@33958|Lactobacillaceae	91061|Bacilli	S	Polyphosphate nucleotide phosphotransferase, PPK2 family													PPK2							
pgaptmp_000121	contig105	Protein Homology	CDS	90809	92713		+	0	ID=cds-pgaptmp_000121;Parent=gene-pgaptmp_000121;Name=extdb:pgaptmp_000121;Ontology_term=GO:0008237,GO:0008270;gbkey=CDS;go_function=metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003594079.1;locus_tag=pgaptmp_000121;product=M13 family metallopeptidase;protein_id=extdb:pgaptmp_000121;transl_table=11	M13 family metallopeptidase	543734.LCABL_12300	0	1236	COG3590@1|root,COG3590@2|Bacteria,1TQTA@1239|Firmicutes,4HDSF@91061|Bacilli,3F9J0@33958|Lactobacillaceae	91061|Bacilli	O	Peptidase family M13	pepO			ko:K07386					ko00000,ko01000,ko01002				Peptidase_M13,Peptidase_M13_N						K07386	pepO; putative endopeptidase [EC:3.4.24.-]
pgaptmp_000122	contig105	Protein Homology	CDS	92833	94257		+	0	ID=cds-pgaptmp_000122;Parent=gene-pgaptmp_000122;Name=extdb:pgaptmp_000122;Ontology_term=GO:0055085,GO:0022857,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=transmembrane transporter activity|0022857||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003569772.1;locus_tag=pgaptmp_000122;product=MFS transporter;protein_id=extdb:pgaptmp_000122;transl_table=11	MFS transporter	543734.LCABL_12310	0	913	COG0477@1|root,COG2814@2|Bacteria,1TPRN@1239|Firmicutes,4HBXJ@91061|Bacilli,3F4D4@33958|Lactobacillaceae	91061|Bacilli	EGP	Major Facilitator													MFS_1,MFS_3,Sugar_tr	ll11825	MFS		multidrug efflux (EmrB/QacA subfamily)	2.A.1		
pgaptmp_000123	contig105	Protein Homology	CDS	94343	94795		-	0	ID=cds-pgaptmp_000123;Parent=gene-pgaptmp_000123;Name=extdb:pgaptmp_000123;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016372013.1;locus_tag=pgaptmp_000123;product=N-acetyltransferase family protein;protein_id=extdb:pgaptmp_000123;transl_table=11	N-acetyltransferase family protein	543734.LCABL_12320	8.49E-105	302	COG0454@1|root,COG0456@2|Bacteria,1VBAA@1239|Firmicutes,4HN0D@91061|Bacilli	91061|Bacilli	K	Acetyltransferase (GNAT) family													Acetyltransf_1							
pgaptmp_000124	contig105	Protein Homology	CDS	95094	95966		-	0	ID=cds-pgaptmp_000124;Parent=gene-pgaptmp_000124;Name=extdb:pgaptmp_000124;Ontology_term=GO:0008289;gbkey=CDS;go_function=lipid binding|0008289||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016385478.1;locus_tag=pgaptmp_000124;product=DegV family protein;protein_id=extdb:pgaptmp_000124;transl_table=11	DegV family protein	543734.LCABL_12330	2.35E-212	586	COG1307@1|root,COG1307@2|Bacteria,1TQDI@1239|Firmicutes,4HAYQ@91061|Bacilli,3F4II@33958|Lactobacillaceae	91061|Bacilli	S	Uncharacterised protein, DegV family COG1307	yitS												DegV							
pgaptmp_000125	contig105	Protein Homology	CDS	96224	97150		-	0	ID=cds-pgaptmp_000125;Parent=gene-pgaptmp_000125;Name=extdb:pgaptmp_000125;Ontology_term=GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003578571.1;locus_tag=pgaptmp_000125;product=SPFH domain-containing protein;protein_id=extdb:pgaptmp_000125;transl_table=11	SPFH domain-containing protein	543734.LCABL_12340	3.38E-166	471	COG0330@1|root,COG0330@2|Bacteria,1TPXU@1239|Firmicutes,4HGRC@91061|Bacilli,3F4HV@33958|Lactobacillaceae	91061|Bacilli	O	prohibitin homologues	hflC			ko:K04087		M00742			ko00000,ko00002,ko01000				Band_7							
pgaptmp_000126	contig105	Protein Homology	CDS	97235	97429		-	0	ID=cds-pgaptmp_000126;Parent=gene-pgaptmp_000126;Name=extdb:pgaptmp_000126;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003574443.1;locus_tag=pgaptmp_000126;product=hypothetical protein;protein_id=extdb:pgaptmp_000126;transl_table=11	hypothetical protein	543734.LCABL_12350	1.45E-38	128	29PRV@1|root,30AQ2@2|Bacteria,1U6Z0@1239|Firmicutes,4IGT9@91061|Bacilli,3F8R4@33958|Lactobacillaceae	91061|Bacilli																						
pgaptmp_000127	contig105	Protein Homology	CDS	97936	98673		+	0	ID=cds-pgaptmp_000127;Parent=gene-pgaptmp_000127;Name=extdb:pgaptmp_000127;Ontology_term=GO:0009253,GO:0016998,GO:0003796;gbkey=CDS;go_function=lysozyme activity|0003796||IEA;go_process=peptidoglycan catabolic process|0009253||IEA,cell wall macromolecule catabolic process|0016998||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003564499.1;locus_tag=pgaptmp_000127;product=GH25 family lysozyme;protein_id=extdb:pgaptmp_000127;transl_table=11	GH25 family lysozyme	543734.LCABL_12360	8.74E-181	502	COG3757@1|root,COG3757@2|Bacteria,1V484@1239|Firmicutes,4HJNJ@91061|Bacilli,3FC1I@33958|Lactobacillaceae	91061|Bacilli	M	Glycosyl hydrolases family 25				ko:K07273					ko00000				Glyco_hydro_25,PG_binding_1						K07273	acm; lysozyme
pgaptmp_000128	contig105	Protein Homology	CDS	98806	99162		+	0	ID=cds-pgaptmp_000128;Parent=gene-pgaptmp_000128;Name=extdb:pgaptmp_000128;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003584193.1;locus_tag=pgaptmp_000128;product=YxeA family protein;protein_id=extdb:pgaptmp_000128;transl_table=11	YxeA family protein	543734.LCABL_12370	9.39E-80	236	COG5294@1|root,COG5294@2|Bacteria,1VF0I@1239|Firmicutes,4HPC2@91061|Bacilli,3F83V@33958|Lactobacillaceae	91061|Bacilli	S	Protein of unknown function (DUF1093)													DUF1093							
pgaptmp_000129	contig105	Protein Homology	CDS	99374	99730		-	0	ID=cds-pgaptmp_000129;Parent=gene-pgaptmp_000129;Name=extdb:pgaptmp_000129;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003564504.1;locus_tag=pgaptmp_000129;product=DUF4828 domain-containing protein;protein_id=extdb:pgaptmp_000129;transl_table=11	DUF4828 domain-containing protein	543734.LCABL_12380	3.83E-79	235	2EGZM@1|root,33ARR@2|Bacteria,1VNS7@1239|Firmicutes,4HSZW@91061|Bacilli,3F83W@33958|Lactobacillaceae	91061|Bacilli	S	Domain of unknown function (DUF4828)													DUF4828							
pgaptmp_000130	contig105	Protein Homology	CDS	100077	101030		+	0	ID=cds-pgaptmp_000130;Parent=gene-pgaptmp_000130;Name=extdb:pgaptmp_000130;Ontology_term=GO:0000166,GO:0003824;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,catalytic activity|0003824||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016386677.1;locus_tag=pgaptmp_000130;product=Gfo/Idh/MocA family protein;protein_id=extdb:pgaptmp_000130;transl_table=11	Gfo/Idh/MocA family protein	543734.LCABL_12390	1.55E-226	624	COG0673@1|root,COG0673@2|Bacteria,1TQSS@1239|Firmicutes,4HCIG@91061|Bacilli,3F4EV@33958|Lactobacillaceae	91061|Bacilli	S	Oxidoreductase	mocA												GFO_IDH_MocA,GFO_IDH_MocA_C							
pgaptmp_000131	contig105	Protein Homology	CDS	101044	102330		+	0	ID=cds-pgaptmp_000131;Parent=gene-pgaptmp_000131;Name=extdb:pgaptmp_000131;Ontology_term=GO:0003676,GO:0005524,GO:0016887;gbkey=CDS;go_function=nucleic acid binding|0003676||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011674385.1;locus_tag=pgaptmp_000131;product=DEAD/DEAH box helicase;protein_id=extdb:pgaptmp_000131;transl_table=11	DEAD/DEAH box helicase	543734.LCABL_12400	1.47E-287	788	COG0513@1|root,COG0513@2|Bacteria,1TQ9R@1239|Firmicutes,4HANR@91061|Bacilli,3F4K8@33958|Lactobacillaceae	91061|Bacilli	L	DEAD DEAH box helicase	yfmL	GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010501,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0070035,GO:0071704,GO:0090304,GO:0140098,GO:1901360											DEAD,Helicase_C							
pgaptmp_000132	contig105	Protein Homology	CDS	102330	102698		+	0	ID=cds-pgaptmp_000132;Parent=gene-pgaptmp_000132;Name=extdb:pgaptmp_000132;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003569787.1;locus_tag=pgaptmp_000132;product=PTS lactose/cellobiose transporter subunit IIA;protein_id=extdb:pgaptmp_000132;transl_table=11	PTS lactose/cellobiose transporter subunit IIA	543734.LCABL_12410	1.31E-72	219	COG1447@1|root,COG1447@2|Bacteria	2|Bacteria	G	phosphoenolpyruvate-dependent sugar phosphotransferase system	chbA	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0009987,GO:0015144,GO:0016043,GO:0016740,GO:0016772,GO:0016773,GO:0022607,GO:0022804,GO:0022857,GO:0034219,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0051259,GO:0051260,GO:0055085,GO:0065003,GO:0071702,GO:0071840,GO:0090563,GO:0090566,GO:1901264,GO:1902815	2.7.1.196,2.7.1.205	ko:K02759	ko00500,ko02060,map00500,map02060	M00275	R11170,R11172	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.3.2		iECABU_c1320.ECABU_c17610,iECOK1_1307.ECOK1_1683,iECUMN_1333.ECUMN_2025,iNRG857_1313.NRG857_07575,iUMN146_1321.UM146_09345	PTS_IIA	ll11825	SSPTS	EnzymeIIA	cellobiose	4.A	K02759	celC, chbA; cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]
pgaptmp_000133	contig105	Protein Homology	CDS	102772	103194		+	0	ID=cds-pgaptmp_000133;Parent=gene-pgaptmp_000133;Name=extdb:pgaptmp_000133;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_019899310.1;locus_tag=pgaptmp_000133;product=DUF3284 domain-containing protein;protein_id=extdb:pgaptmp_000133;transl_table=11	DUF3284 domain-containing protein	543734.LCABL_12420	5.24E-92	269	2DQNY@1|root,337UX@2|Bacteria,1VEZ0@1239|Firmicutes,4HPE2@91061|Bacilli,3F875@33958|Lactobacillaceae	91061|Bacilli	S	Domain of unknown function (DUF3284)													DUF3284							
pgaptmp_000134	contig105	Protein Homology	CDS	103312	103512		+	0	ID=cds-pgaptmp_000134;Parent=gene-pgaptmp_000134;Name=extdb:pgaptmp_000134;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010489541.1;locus_tag=pgaptmp_000134;product=hypothetical protein;protein_id=extdb:pgaptmp_000134;transl_table=11	hypothetical protein																											
pgaptmp_000135	contig105	GeneMarkS-2+	CDS	103502	104131		+	0	ID=cds-pgaptmp_000135;Parent=gene-pgaptmp_000135;Name=extdb:pgaptmp_000135;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000135;product=hypothetical protein;protein_id=extdb:pgaptmp_000135;transl_table=11	hypothetical protein	457570.Nther_0821	1E-26	108	COG0454@1|root,COG0456@2|Bacteria,1UHW4@1239|Firmicutes,24I24@186801|Clostridia	186801|Clostridia	K	acetyltransferase																				
pgaptmp_000137	contig105	Protein Homology	CDS	104456	105178		+	0	ID=cds-pgaptmp_000137;Parent=gene-pgaptmp_000137;Name=extdb:pgaptmp_000137;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003564514.1;locus_tag=pgaptmp_000137;product=hypothetical protein;protein_id=extdb:pgaptmp_000137;transl_table=11	hypothetical protein	1122149.BACN01000068_gene388	7.8E-10	65.5	arCOG05209@1|root,31PIN@2|Bacteria,1V5G2@1239|Firmicutes,4HIRV@91061|Bacilli,3F6X9@33958|Lactobacillaceae	91061|Bacilli																						
pgaptmp_000138	contig105	Protein Homology	CDS	105264	107042		+	0	ID=cds-pgaptmp_000138;Parent=gene-pgaptmp_000138;Name=extdb:pgaptmp_000138;Ontology_term=GO:0006310,GO:0009432,GO:0003678;gbkey=CDS;gene=recQ;go_function=DNA helicase activity|0003678||IEA;go_process=DNA recombination|0006310||IEA,SOS response|0009432||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003578584.1;locus_tag=pgaptmp_000138;product=DNA helicase RecQ;protein_id=extdb:pgaptmp_000138;transl_table=11	DNA helicase RecQ	543734.LCABL_12450	0	1155	COG0514@1|root,COG0514@2|Bacteria,1TPN5@1239|Firmicutes,4H9QP@91061|Bacilli,3F4PY@33958|Lactobacillaceae	91061|Bacilli	L	ATP-dependent DNA helicase RecQ	recQ		3.6.4.12	ko:K03654	ko03018,map03018				ko00000,ko00001,ko01000,ko03400				DEAD,HRDC,Helicase_C,RQC,RecQ_Zn_bind						K03654	recQ; ATP-dependent DNA helicase RecQ [EC:5.6.2.4]
pgaptmp_000139	contig105	Protein Homology	CDS	107197	108432		-	0	ID=cds-pgaptmp_000139;Parent=gene-pgaptmp_000139;Name=extdb:pgaptmp_000139;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011674388.1;locus_tag=pgaptmp_000139;product=aminopeptidase;protein_id=extdb:pgaptmp_000139;transl_table=11	aminopeptidase	543734.LCABL_12460	2.73E-304	828	COG2309@1|root,COG2309@2|Bacteria,1TP65@1239|Firmicutes,4H9W8@91061|Bacilli,3F53R@33958|Lactobacillaceae	91061|Bacilli	E	Thermophilic metalloprotease (M29)	pepS			ko:K19689					ko00000,ko01000,ko01002				Peptidase_M29						K19689	ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]
pgaptmp_000140	contig105	Protein Homology	CDS	108757	109365		+	0	ID=cds-pgaptmp_000140;Parent=gene-pgaptmp_000140;Name=extdb:pgaptmp_000140;Ontology_term=GO:0006355,GO:0045892,GO:0046677,GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA,negative regulation of DNA-templated transcription|0045892||IEA,response to antibiotic|0046677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003564519.1;locus_tag=pgaptmp_000140;product=TetR/AcrR family transcriptional regulator;protein_id=extdb:pgaptmp_000140;transl_table=11	TetR/AcrR family transcriptional regulator	543734.LCABL_12470	1.71E-143	404	COG1309@1|root,COG1309@2|Bacteria,1V8EE@1239|Firmicutes,4HJF2@91061|Bacilli,3FBGB@33958|Lactobacillaceae	91061|Bacilli	K	Bacterial regulatory proteins, tetR family													TetR_N,WHG							
pgaptmp_000141	contig105	Protein Homology	CDS	109754	111127		+	0	ID=cds-pgaptmp_000141;Parent=gene-pgaptmp_000141;Name=extdb:pgaptmp_000141;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003564521.1;locus_tag=pgaptmp_000141;product=DUF2252 domain-containing protein;protein_id=extdb:pgaptmp_000141;transl_table=11	DUF2252 domain-containing protein	543734.LCABL_12480	0	894	COG4320@1|root,COG4320@2|Bacteria,1UCBA@1239|Firmicutes,4HBCI@91061|Bacilli,3F3JA@33958|Lactobacillaceae	91061|Bacilli	S	Uncharacterized protein conserved in bacteria (DUF2252)				ko:K13730	ko05100,map05100				ko00000,ko00001				DUF2252							
pgaptmp_000142	contig105	Protein Homology	CDS	111268	112275		+	0	ID=cds-pgaptmp_000142;Parent=gene-pgaptmp_000142;Name=extdb:pgaptmp_000142;Ontology_term=GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003564523.1;locus_tag=pgaptmp_000142;product=YihY/virulence factor BrkB family protein;protein_id=extdb:pgaptmp_000142;transl_table=11	YihY/virulence factor BrkB family protein	543734.LCABL_12490	5.62E-229	632	COG1295@1|root,COG1295@2|Bacteria,1U7HM@1239|Firmicutes,4H9MJ@91061|Bacilli,3F4TC@33958|Lactobacillaceae	91061|Bacilli	S	Belongs to the UPF0761 family	rbn			ko:K07058					ko00000				Virul_fac_BrkB						K07058	K07058; membrane protein
pgaptmp_000143	contig105	Protein Homology	CDS	112362	112823		-	0	ID=cds-pgaptmp_000143;Parent=gene-pgaptmp_000143;Name=extdb:pgaptmp_000143;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013245635.1;locus_tag=pgaptmp_000143;product=flavodoxin;protein_id=extdb:pgaptmp_000143;transl_table=11	flavodoxin	543734.LCABL_12500	2.51E-103	299	COG0716@1|root,COG0716@2|Bacteria,1V7AG@1239|Firmicutes,4HMJF@91061|Bacilli,3F6HY@33958|Lactobacillaceae	91061|Bacilli	C	Flavodoxin	fld			ko:K03839					ko00000				Flavodoxin_1							
pgaptmp_000144	contig105	GeneMarkS-2+	CDS	113067	113252		+	0	ID=cds-pgaptmp_000144;Parent=gene-pgaptmp_000144;Name=extdb:pgaptmp_000144;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000144;product=hypothetical protein;protein_id=extdb:pgaptmp_000144;transl_table=11	hypothetical protein																											
pgaptmp_000145	contig105	GeneMarkS-2+	CDS	113210	113875		+	0	ID=cds-pgaptmp_000145;Parent=gene-pgaptmp_000145;Name=extdb:pgaptmp_000145;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000145;product=hypothetical protein;protein_id=extdb:pgaptmp_000145;transl_table=11	hypothetical protein	406817.XNC1_0941	3.14E-10	64.7	COG0454@1|root,COG0456@2|Bacteria,1R03Q@1224|Proteobacteria,1T4EK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	acetyltransferase																				
pgaptmp_000146	contig105	Protein Homology	CDS	114278	115102		+	0	ID=cds-pgaptmp_000146;Parent=gene-pgaptmp_000146;Name=extdb:pgaptmp_000146;Ontology_term=GO:0006508,GO:0070006;gbkey=CDS;gene=map;go_function=metalloaminopeptidase activity|0070006||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003578592.1;locus_tag=pgaptmp_000146;product=type I methionyl aminopeptidase;protein_id=extdb:pgaptmp_000146;transl_table=11	type I methionyl aminopeptidase	543734.LCABL_12510	7.84E-203	560	COG0024@1|root,COG0024@2|Bacteria,1TQC1@1239|Firmicutes,4H9S9@91061|Bacilli,3F3MK@33958|Lactobacillaceae	91061|Bacilli	E	Methionine Aminopeptidase	map		3.4.11.18	ko:K01265					ko00000,ko01000,ko01002				Peptidase_M24						K01265	map; methionyl aminopeptidase [EC:3.4.11.18]
pgaptmp_000147	contig105	Protein Homology	CDS	115381	116442		+	0	ID=cds-pgaptmp_000147;Parent=gene-pgaptmp_000147;Name=extdb:pgaptmp_000147;Ontology_term=GO:0016757;gbkey=CDS;go_function=glycosyltransferase activity|0016757||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003601955.1;locus_tag=pgaptmp_000147;product=glycosyltransferase family 2 protein;protein_id=extdb:pgaptmp_000147;transl_table=11	glycosyltransferase family 2 protein	543734.LCABL_12520	4.32E-258	707	COG0463@1|root,COG0463@2|Bacteria,1VVRP@1239|Firmicutes,4HGSR@91061|Bacilli,3FBSG@33958|Lactobacillaceae	91061|Bacilli	M	Glycosyltransferase like family 2													Glycos_transf_2							
pgaptmp_000148	contig105	Protein Homology	CDS	116661	116918		-	0	ID=cds-pgaptmp_000148;Parent=gene-pgaptmp_000148;Name=extdb:pgaptmp_000148;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003594103.1;locus_tag=pgaptmp_000148;product=DUF2922 domain-containing protein;protein_id=extdb:pgaptmp_000148;transl_table=11	DUF2922 domain-containing protein	1423807.BACO01000025_gene826	7.26E-10	57.4	2DR42@1|root,33A2M@2|Bacteria,1VKCM@1239|Firmicutes,4HRAS@91061|Bacilli,3F8R5@33958|Lactobacillaceae	91061|Bacilli	S	Protein of unknown function (DUF2922)													DUF2922							
pgaptmp_000149	contig105	Protein Homology	CDS	116934	117143		-	0	ID=cds-pgaptmp_000149;Parent=gene-pgaptmp_000149;Name=extdb:pgaptmp_000149;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016370862.1;locus_tag=pgaptmp_000149;product=hypothetical protein;protein_id=extdb:pgaptmp_000149;transl_table=11	hypothetical protein	568703.LGG_01060	1.45E-20	83.6	2BQ1G@1|root,32IVS@2|Bacteria,1U82T@1239|Firmicutes,4II07@91061|Bacilli,3FAGJ@33958|Lactobacillaceae	91061|Bacilli																						
pgaptmp_000150	contig105	Protein Homology	CDS	117446	118321		+	0	ID=cds-pgaptmp_000150;Parent=gene-pgaptmp_000150;Name=extdb:pgaptmp_000150;Ontology_term=GO:0016757;gbkey=CDS;go_function=glycosyltransferase activity|0016757||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005688894.1;locus_tag=pgaptmp_000150;product=glycosyltransferase;protein_id=extdb:pgaptmp_000150;transl_table=11	glycosyltransferase	1423816.BACQ01000022_gene693	4.95E-141	405	COG1442@1|root,COG1442@2|Bacteria	2|Bacteria	M	lipopolysaccharide 3-alpha-galactosyltransferase activity		GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0016051,GO:0016740,GO:0016757,GO:0043170,GO:0044238,GO:0071704,GO:1901576											GT-D,Glyco_transf_8							
