"id","Category","Locus","Gene Name","Aliases","Assigned Function","deseq2_log2_FC","Avg. Expression","lfc SE","wald stat","p-value","deseq2_q_value","ERGO_Function","GenBank_Function","strand","length_nt","length_aa","GRAVY","Molecular_Weight","Iso_electric_Point","gene_name","Kegg_Orthology","COG_Category_description","KEGG_Pathway_names","COG_category_eggnog","seed_ortholog_eggnog","evalue_eggnog","score_eggnog","Description_eggnog","Preferred_name_eggnog","GOs_eggnog","EC_eggnog","KEGG_ko_eggnog","KEGG_Pathway_eggnog","KEGG_Module_eggnog","KEGG_Reaction_eggnog","KEGG_rclass_eggnog","BRITE_eggnog","KEGG_TC_eggnog","CAZy_eggnog","BiGG_Reaction_eggnog","PFAMs_eggnog","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"RVCYZ000436","Uncategorized;","NODE_2_length_292055_cov_35.121020","null","pgaptmp_000577, extdb:pgaptmp_000577","Cell division protein",-1.15,12100,0.106,-10.8,2.37E-27,1.79E-26,"Cell division protein","cell division protein","positive",1716,572,-0.842482517482516,62046.8521000003,4.64007568359375,"None","NA","(D) Cell cycle control and mitosis","-","D","552531.BIF_00558",3.73E-192,558,"nuclear chromosome segregation","-","-","-","-","-","-","-","-","-","-","-","-","DivIVA","NA","NA","NA"
"RVCYZ000450","metabolic process;cellular process;biological regulation;","NODE_2_length_292055_cov_35.121020","rplJ","rplJ, pgaptmp_000591, extdb:pgaptmp_000591","LSU ribosomal protein L10P",-2.68,21400,0.172,-15.5,1.76E-54,6.43E-53,"LSU ribosomal protein L10P","50S ribosomal protein L10","positive",519,173,-0.189017341040462,18811.4233,8.68524169921875,"rplJ","K02864 - RP-L10, MRPL10, rplJ - large subunit ribosomal protein L10","(J) Translation","Ribosome","J","552531.BIF_01235",2.13E-114,330,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors","rplJ","GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02864","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L10","NA","NA","NA"
"RVCYZ000451","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplL","rplL, pgaptmp_000592, extdb:pgaptmp_000592","LSU ribosomal protein L12P (L7/L12)",-2.18,12700,0.172,-12.7,5.04E-37,6.15E-36,"LSU ribosomal protein L12P (L7/L12)","50S ribosomal protein L7/L12","positive",378,126,0.010317460317461,13226.9531,4.53045654296875,"rplL","K02935 - RP-L7, MRPL12, rplL - large subunit ribosomal protein L7/L12","(J) Translation","Ribosome","J","552531.BIF_01236",9.38E-68,207,"Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation","rplL","GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944","-","ko:K02935","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L12,Ribosomal_L12_N","NA","NA","NA"
"RVCYZ000460","cellular process;","NODE_2_length_292055_cov_35.121020","groES","groES, pgaptmp_000601, extdb:pgaptmp_000601","10 kDa chaperonin GROES",-1.71,3400,0.179,-9.54,1.44E-21,8.40E-21,"10 kDa chaperonin GROES","co-chaperone GroES","positive",294,98,-0.372448979591837,10679.0023,4.99139404296875,"groES","K04078 - groES, HSPE1 - chaperonin GroES","(O) Post-translational modification, protein turnover, chaperone functions","-","O","552531.BIF_00675",4.55E-64,195,"Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter","groS","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006355,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0016020,GO:0019219,GO:0019222,GO:0019899,GO:0030312,GO:0031323,GO:0031326,GO:0033554,GO:0034605,GO:0035375,GO:0035966,GO:0040007,GO:0042221,GO:0043167,GO:0043169,GO:0044424,GO:0044444,GO:0044464,GO:0046677,GO:0046872,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0061077,GO:0065007,GO:0071944,GO:0080090,GO:1903506,GO:2000112,GO:2001141","-","ko:K04078","-","-","-","-","ko00000,ko03029,ko03110","-","-","-","Cpn10","NA","NA","NA"
"RVCYZ000461","Uncategorized;","NODE_2_length_292055_cov_35.121020","rpmG","rpmG, pgaptmp_000605, extdb:pgaptmp_000605","LSU ribosomal protein L33P",-1.32,1460,0.198,-6.69,2.21E-11,6.69E-11,"LSU ribosomal protein L33P","50S ribosomal protein L33","positive",168,56,-0.9625,6479.527,10.0537719726563,"rpmG","K02913 - RP-L33, MRPL33, rpmG - large subunit ribosomal protein L33","(J) Translation","Ribosome","J","552531.BIF_00677",2.06E-35,120,"Ribosomal protein L33","rpmG","-","-","ko:K02913","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L33","NA","NA","NA"
"RVCYZ000464","Uncategorized;","NODE_2_length_292055_cov_35.121020","null","pgaptmp_000608, extdb:pgaptmp_000608","Ferredoxin",-1.44,1480,0.143,-10.1,9.16E-24,5.78E-23,"Ferredoxin","ferredoxin family protein","positive",321,107,-0.200934579439252,11629.9471,3.95111083984375,"None","K03220 - yscD, sctD, ssaD - type III secretion protein D","(C) Energy production and conversion","-","C","552531.BIF_00932",4.15E-80,236,"4Fe-4S binding domain","fdxA","GO:0001666,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0008150,GO:0009605,GO:0009607,GO:0009628,GO:0036293,GO:0043207,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0070482,GO:0075136","-","ko:K05524","-","-","-","-","ko00000","-","-","-","Fer4","NA","NA","NA"
"RVCYZ000470","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","malQ","malQ, pgaptmp_000615, extdb:pgaptmp_000615","4-alpha-glucanotransferase (EC 2.4.1.25)",-1.91,15600,0.118,-16.2,2.29E-59,1.09E-57,"4-alpha-glucanotransferase (EC 2.4.1.25)","4-alpha-glucanotransferase (EC 2.4.1.25)","positive",2166,722,-0.335457063711911,81239.7073000003,4.84185791015625,"malQ","K00705 - malQ - 4-alpha-glucanotransferase [EC:2.4.1.25] [2.4.1.25]","(G) Carbohydrate metabolism and transport","Starch and sucrose metabolism; Metabolic pathways","G","552531.BIF_01314",0,1483,"4-alpha-glucanotransferase","malQ","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464","2.4.1.25","ko:K00705","ko00500,ko01100,map00500,map01100","-","R05196","RC00049","ko00000,ko00001,ko01000","-","GH77","-","Glyco_hydro_77","NA","NA","NA"
"RVCYZ000471","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplM","rplM, pgaptmp_000616, extdb:pgaptmp_000616","LSU ribosomal protein L13P",-2.88,31800,0.147,-19.5,5.72E-85,7.67E-83,"LSU ribosomal protein L13P","50S ribosomal protein L13","positive",447,149,-0.473825503355705,16618.9779,9.62933349609375,"rplM","K02871 - RP-L13, MRPL13, rplM - large subunit ribosomal protein L13","(J) Translation","Ribosome","J","552531.BIF_00272",1.31E-103,299,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly","rplM","GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02871","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L13","NA","NA","NA"
"RVCYZ000472","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rpsI","rpsI, pgaptmp_000617, extdb:pgaptmp_000617","SSU ribosomal protein S9P",-2.41,6480,0.173,-13.9,6.38E-44,1.19E-42,"SSU ribosomal protein S9P","30S ribosomal protein S9","positive",489,163,-0.450306748466258,17423.5345,10.3037719726563,"rpsI","K02996 - RP-S9, MRPS9, rpsI - small subunit ribosomal protein S9","(J) Translation","Ribosome","J","552531.BIF_00273",6.69E-97,283,"Belongs to the universal ribosomal protein uS9 family","rpsI","GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0022626,GO:0022627,GO:0030490,GO:0032991,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02996","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S9","NA","NA","NA"
"RVCYZ000478","metabolic process;cellular process;biological regulation;","NODE_2_length_292055_cov_35.121020","rpsJ","rpsJ, pgaptmp_000623, extdb:pgaptmp_000623","SSU ribosomal protein S10P",-2.39,18700,0.163,-14.7,6.55E-49,1.65E-47,"SSU ribosomal protein S10P","30S ribosomal protein S10","positive",306,102,-0.364705882352941,11570.3229,8.73602294921875,"rpsJ","K02946 - RP-S10, MRPS10, rpsJ - small subunit ribosomal protein S10","(J) Translation","Ribosome","J","1690.BPSG_0572",6.58E-68,205,"Involved in the binding of tRNA to the ribosomes","rpsJ","GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02946","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S10","NA","NA","NA"
"RVCYZ000479","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplC","rplC, pgaptmp_000624, extdb:pgaptmp_000624","LSU ribosomal protein L3P",-1.92,18800,0.148,-13,8.56E-39,1.13E-37,"LSU ribosomal protein L3P","50S ribosomal protein L3","positive",648,216,-0.409722222222223,23208.2703,10.0360717773438,"rplC","K02906 - RP-L3, MRPL3, rplC - large subunit ribosomal protein L3","(J) Translation","Ribosome","J","552531.BIF_00968",1.06E-153,431,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit","rplC","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944","-","ko:K02906","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L3","NA","NA","NA"
"RVCYZ000480","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplD","rplD, pgaptmp_000625, extdb:pgaptmp_000625","LSU ribosomal protein L1E (= L4P)",-1.76,23500,0.122,-14.4,4.17E-47,9.88E-46,"LSU ribosomal protein L1E (= L4P)","50S ribosomal protein L4","positive",654,218,-0.274770642201835,23445.2667,9.85260009765625,"rplD","K02926 - RP-L4, MRPL4, rplD - large subunit ribosomal protein L4","(J) Translation","Ribosome","J","552531.BIF_00668",3.41E-151,425,"Forms part of the polypeptide exit tunnel","rplD","GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0019538,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02926","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L4","NA","NA","NA"
"RVCYZ000481","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplW","rplW, pgaptmp_000626, extdb:pgaptmp_000626","LSU ribosomal protein L23P",-1.8,4110,0.168,-10.7,9.96E-27,7.26E-26,"LSU ribosomal protein L23P","50S ribosomal protein L23","positive",294,98,-0.285714285714286,10910.5141,10.2799682617188,"rplW","K02892 - RP-L23, MRPL23, rplW - large subunit ribosomal protein L23","(J) Translation","Ribosome","J","552531.BIF_00669",1.79E-61,189,"One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome","rplW","GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02892","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L23","NA","NA","NA"
"RVCYZ000482","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplB","rplB, pgaptmp_000627, extdb:pgaptmp_000627","LSU ribosomal protein L2P",-1.7,35000,0.128,-13.3,1.93E-40,2.93E-39,"LSU ribosomal protein L2P","50S ribosomal protein L2","positive",828,276,-0.908695652173913,30438.359,11.3095092773438,"rplB","K02886 - RP-L2, MRPL2, rplB - large subunit ribosomal protein L2","(J) Translation","Ribosome","J","552531.BIF_00670",2.32E-196,544,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity","rplB","GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02886","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L2,Ribosomal_L2_C","NA","NA","NA"
"RVCYZ000483","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rpsS","rpsS, pgaptmp_000628, extdb:pgaptmp_000628","SSU ribosomal protein S19P",-1.56,6100,0.171,-9.12,7.50E-20,3.92E-19,"SSU ribosomal protein S19P","30S ribosomal protein S19","positive",276,92,-0.791304347826087,10522.0024,10.4415893554688,"rpsS","K02965 - RP-S19, rpsS - small subunit ribosomal protein S19","(J) Translation","Ribosome","J","552531.BIF_01966",6.95E-63,192,"Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA","rpsS","GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006996,GO:0008150,GO:0009987,GO:0015935,GO:0016020,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840,GO:0071944,GO:1990904","-","ko:K02965","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S19","NA","NA","NA"
"RVCYZ000484","metabolic process;cellular process;response to stimulus;","NODE_2_length_292055_cov_35.121020","rplV","rplV, pgaptmp_000629, extdb:pgaptmp_000629","LSU ribosomal protein L22P",-1.66,7570,0.135,-12.3,1.12E-34,1.22E-33,"LSU ribosomal protein L22P","50S ribosomal protein L22","positive",357,119,-0.482352941176471,13309.3319,10.8043823242188,"rplV","K02890 - RP-L22, MRPL22, rplV - large subunit ribosomal protein L22","(J) Translation","Ribosome","J","552531.BIF_01965",2.68E-75,225,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome","rplV","GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904","-","ko:K02890","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L22","NA","NA","NA"
"RVCYZ000485","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rpsC","rpsC, pgaptmp_000630, extdb:pgaptmp_000630","SSU ribosomal protein S3P",-1.65,32900,0.131,-12.6,3.22E-36,3.84E-35,"SSU ribosomal protein S3P","30S ribosomal protein S3","positive",831,277,-0.885198555956679,31568.4948,10.3927612304688,"rpsC","K02982 - RP-S3, rpsC - small subunit ribosomal protein S3","(J) Translation","Ribosome","J","552531.BIF_00371",2.32E-176,494,"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation","rpsC","GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0022626,GO:0022627,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02982","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","KH_2,Ribosomal_S3_C","NA","NA","NA"
"RVCYZ000486","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rplP","rplP, pgaptmp_000631, extdb:pgaptmp_000631","LSU ribosomal protein L16P",-1.5,10900,0.131,-11.5,1.00E-30,8.60E-30,"LSU ribosomal protein L16P","50S ribosomal protein L16","positive",417,139,-0.464028776978418,15636.1001,10.6035766601563,"rplP","K02878 - RP-L16, MRPL16, rplP - large subunit ribosomal protein L16","(J) Translation","Ribosome","J","1688.BCUN_1962",1.15E-99,288,"Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs","rplP","GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0008150,GO:0015934,GO:0016020,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:0097159,GO:1901363,GO:1990904","-","ko:K02878","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L16","NA","NA","NA"
"RVCYZ000487","metabolic process;cellular process;","NODE_2_length_292055_cov_35.121020","rpmC","rpmC, pgaptmp_000632, extdb:pgaptmp_000632","LSU ribosomal protein L29P",-1.57,2040,0.157,-10,1.31E-23,8.27E-23,"LSU ribosomal protein L29P","50S ribosomal protein L29","positive",246,82,-0.682926829268293,9324.52909999999,9.04742431640625,"rpmC","K02904 - RP-L29, rpmC - large subunit ribosomal protein L29","(J) Translation","Ribosome","J","552531.BIF_00369",5.27E-49,156,"Belongs to the universal ribosomal protein uL29 family","rpmC","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904","-","ko:K02904","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L29","NA","NA","NA"
"RVCYZ000488","metabolic process;cellular process;response to stimulus;","NODE_2_length_292055_cov_35.121020","rpsQ","rpsQ, pgaptmp_000633, extdb:pgaptmp_000633","SSU ribosomal protein S17P",-2.02,6720,0.162,-12.5,7.71E-36,8.92E-35,"SSU ribosomal protein S17P","30S ribosomal protein S17","positive",258,86,-0.809302325581395,10079.4864,10.1487426757813,"rpsQ","K02961 - RP-S17, MRPS17, rpsQ - small subunit ribosomal protein S17","(J) Translation","Ribosome","J","552531.BIF_00076",7.84E-55,171,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA","rpsQ","GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904","-","ko:K02961","ko03010,map03010","M00178,M00179","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S17","NA","NA","NA"
